dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_1,068f35f94b43157a64958a056f43ceb9f4968c8fb1fcdfeb08ca370045b91474,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Object)",47,1539,"createValue(str, (Class)obj)",null,"1:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Object):47:1539:createValue(str, (Class)obj) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_2,c9f8951c01363cf5ab65b30ccd88b494e30937675eb4d33cb3f85c407d21fb81,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<IDENTIFIER(java.lang.String)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",63,2045,str,null,"2:EVR:<IDENTIFIER(java.lang.String)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):63:2045:str |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_3,fcb580c54e7f7dc6e618b2be8e944cb41bbeba155f2be93aa4318f26cba946af,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",67,2162,createObject(str),null,"3:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):67:2162:createObject(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_4,209fd97fc843ad35e162636deb05445514d3ce00801b3eecaca35d58ac6fb755,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.lang.Number)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",71,2281,createNumber(str),null,"4:EVR:<METHOD_INVOCATION(java.lang.Number)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):71:2281:createNumber(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_5,d0085cd82f73fb358d43cba0ed9be41915603a53d9b13c0711fdd8590c2c2c93,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.util.Date)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",75,2396,createDate(str),null,"5:EVR:<METHOD_INVOCATION(java.util.Date)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):75:2396:createDate(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_6,ed54b5b312bec9c84a2e7a1b1e00d747c6ff8bdb5e46b7cbba831b1df4533801,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.lang.Class)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",79,2513,createClass(str),null,"6:EVR:<METHOD_INVOCATION(java.lang.Class)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):79:2513:createClass(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_7,6cd1c269e08fdfbf0c2caeedc603469768d0fca5c19ee9ef85fff4c9989e28d0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.io.File)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",83,2628,createFile(str),null,"7:EVR:<METHOD_INVOCATION(java.io.File)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):83:2628:createFile(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_8,980439d408f4e0145e285346c46dda50bdeb9e40bf6140161ea28a70645aeedc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.io.File)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",87,2752,createFile(str),null,"8:EVR:<METHOD_INVOCATION(java.io.File)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):87:2752:createFile(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_9,f4441196defaadbccca3cf30bea13d412f848ab392e72687a64346dcc5a274ea,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.io.File[])>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",91,2869,createFiles(str),null,"9:EVR:<METHOD_INVOCATION(java.io.File[])>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):91:2869:createFiles(str) |==> null"
defects4j,Cli_3,cli_3f_createValue__line59_101,major_full_catalog_try2,createValue,major_10,50b38f1d4e09eadfd93194bcee5d734c0675536438a4c615db87a765945b6bae,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/cli_3f_createValue__line59_101/run.log,EVR,<METHOD_INVOCATION(java.net.URL)>:<DEFAULT>,org.apache.commons.cli.TypeHandler,"createValue(java.lang.String,java.lang.Class)",95,2982,createURL(str),null,"10:EVR:<METHOD_INVOCATION(java.net.URL)>:<DEFAULT>:org.apache.commons.cli.TypeHandler@createValue(java.lang.String,java.lang.Class):95:2982:createURL(str) |==> null"
