dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_1,0cf3dcbf991c19d66fe216105df402a916d373c8732739d5150974934deeb1f0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,POS:0,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18642,4,0,"1:LVR:POS:0:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18642:4 |==> 0"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_2,fe3f94803ca0681ccf0f0ba4b50f1e14e1ec9c17594106cb86998fae7bce4c1d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,POS:NEG,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18642,4,-4,"2:LVR:POS:NEG:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18642:4 |==> -4"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_3,912bf18895ae3e7e62d80c3890783c8670b8098bae3b9d7ad74cf8cab10eedb4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18645,"""JOSE""","""""","3:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18645:""JOSE"" |==> """""
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_4,a70b49045892c785873cba3b7b4ce90c2b300c9f5647d224ef3846714fdbe7a4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,0:POS,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18672,0,1,"4:LVR:0:POS:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18672:0 |==> 1"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_5,5ca2feb9ccdda26b0b5ad5fbef6d85c92ff544ee5db2277298116ab8c3989cab,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,0:NEG,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18672,0,-1,"5:LVR:0:NEG:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18672:0 |==> -1"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_6,c554fcc79733e365aae4ce749d19c571a8c8ea0b1cc71419acf389ae78975c6c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,POS:0,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18675,4,0,"6:LVR:POS:0:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18675:4 |==> 0"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_7,e1f88554d179c94c113776533775f8a89ee4a8fba87a68e8a2fa840e875c5d9b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,POS:NEG,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18675,4,-4,"7:LVR:POS:NEG:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18675:4 |==> -4"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_8,10308f1190a1b47aba0b9a446c4958037424e787e2f881f545776a91003fd3ac,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",528,18678,"""SAN ""","""""","8:LVR:<CLASS>:<EMPTY>:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):528:18678:""SAN "" |==> """""
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_9,14c3273d49f427384aa7307ac0d09018293b102ec0313080fb00e401ae3a0688,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,0:POS,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",530,18784,0,1,"9:LVR:0:POS:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):530:18784:0 |==> 1"
defects4j,Codec_1,codec_1f_handleJ__line526_556,major_full_catalog_try2,handleJ,major_10,b6eae0a95fffbca46fb1bc8e89c8e065d1076816c101bca327b288b5d06d0314,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_1f_handleJ__line526_556/run.log,LVR,0:NEG,org.apache.commons.codec.language.DoubleMetaphone,"handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean)",530,18784,0,-1,"10:LVR:0:NEG:org.apache.commons.codec.language.DoubleMetaphone@handleJ(java.lang.String,org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult,int,boolean):530:18784:0 |==> -1"
