dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_1,142e7a5c73b81b22699e862f4c1d95fd137af5e5cb204e7c39cb202792d6a1ef,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),298,7442,preprocess(text),null,1:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):298:7442:preprocess(text) |==> null
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_2,c1763fa8ed6f6e94cc0aba2db056ee934643cb842a8b77653d591e36f513b0f5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,POS:0,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),300,7522,2,0,2:LVR:POS:0:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):300:7522:2 |==> 0
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_3,3e6a0e6c42cf43d75423a8b47f8698749a9d9cd40d01088f1e88886b38ecc2e6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,POS:NEG,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),300,7522,2,-2,3:LVR:POS:NEG:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):300:7522:2 |==> -2
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_4,bd119e3285a46932fe7537a836d83b0c51021275c818bd613a150cf5a77a0545,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,EVR,<NEW_CLASS(org.apache.commons.codec.language.ColognePhonetic.CologneRightBuffer)>:<DEFAULT>,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),301,7561,new CologneRightBuffer(text.toCharArray()),null,4:EVR:<NEW_CLASS(org.apache.commons.codec.language.ColognePhonetic.CologneRightBuffer)>:<DEFAULT>:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):301:7561:new CologneRightBuffer(text.toCharArray()) |==> null
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_5,102dadd7828da18c926c167527adeec32db1b4ed0a6b8c339ccd22b96f3d7197,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),310,7764,right.length(),0,5:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):310:7764:right.length() |==> 0
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_6,a66d1aabe6439d4acc68af32a4f1f02e877fc81a69d9e4ff56b49024e3226db8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,0:POS,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),312,7798,0,1,6:LVR:0:POS:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):312:7798:0 |==> 1
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_7,67095dd201e07fa827c2fbc2644a01bc1e303055d75269c83aa9c644ee85199f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,0:NEG,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),312,7798,0,-1,7:LVR:0:NEG:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):312:7798:0 |==> -1
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_8,14821ef0109e75a138fa4016c2cfe1aabbb6b67289bbc920242e67605848c282,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,EVR,<METHOD_INVOCATION(char)>:<DEFAULT>,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),313,7837,right.removeNext(),0,8:EVR:<METHOD_INVOCATION(char)>:<DEFAULT>:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):313:7837:right.removeNext() |==> 0
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_9,4530f11a867321e448e167b35c0fae1937f807fcc6bea34fe08b176af772c08c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,0:POS,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),315,7891,0,1,9:LVR:0:POS:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):315:7891:0 |==> 1
defects4j,Codec_9,codec_9f_colognePhonetic__line293_383,major_full_catalog_try2,colognePhonetic,major_10,da5d4a82ff9169d951f9b7749c2937f5f4250cb7bf55b78c34e2f1f9fa2d007e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_colognePhonetic__line293_383/run.log,LVR,0:NEG,org.apache.commons.codec.language.ColognePhonetic,colognePhonetic(java.lang.String),315,7891,0,-1,10:LVR:0:NEG:org.apache.commons.codec.language.ColognePhonetic@colognePhonetic(java.lang.String):315:7891:0 |==> -1
