dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_1,f60d128b6326b88548dba823609ccd1c274ae2394c27b28f3de4aae610a8bd2a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:POS,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),47,1652,0,1,1:LVR:0:POS:org.apache.commons.codec.binary.BaseNCodecInputStream@read():47:1652:0 |==> 1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_2,f780e81deec8703ed469ea7c47b7b555575538e26234a28fa2cbdbadc5a72c44,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:NEG,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),47,1652,0,-1,2:LVR:0:NEG:org.apache.commons.codec.binary.BaseNCodecInputStream@read():47:1652:0 |==> -1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_3,1840d0940682cb939df689827bc1d36dfd4f46788e6a4099ede0866b598cadbb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,POS:0,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),47,1655,1,0,3:LVR:POS:0:org.apache.commons.codec.binary.BaseNCodecInputStream@read():47:1655:1 |==> 0
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_4,69ffced0dbf0360f958a28f45586f5b998789ae4a562ff9e0819d6a6f5e90c5a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,POS:NEG,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),47,1655,1,-1,4:LVR:POS:NEG:org.apache.commons.codec.binary.BaseNCodecInputStream@read():47:1655:1 |==> -1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_5,946ec1b9b2752ad5fa368b7ca2d6031b5cc2a29b74b5b789e49291b18f141791,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:POS,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),48,1679,0,1,5:LVR:0:POS:org.apache.commons.codec.binary.BaseNCodecInputStream@read():48:1679:0 |==> 1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_6,eec6cda800d1df5ac24f262a36c01f0fb8e71e42c0fafe04adb704fd0119bb18,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:NEG,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),48,1679,0,-1,6:LVR:0:NEG:org.apache.commons.codec.binary.BaseNCodecInputStream@read():48:1679:0 |==> -1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_7,af93d85ca8a168a50c34c8921c65406474d7ac1bfcd22cff01b8a2b11de8bd76,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:POS,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),49,1717,0,1,7:LVR:0:POS:org.apache.commons.codec.binary.BaseNCodecInputStream@read():49:1717:0 |==> 1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_8,0ccfdc1be75a843ecd6800081620495a9b188e5c75ce9f2175fdc8c480e6ebe6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,0:NEG,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),49,1717,0,-1,8:LVR:0:NEG:org.apache.commons.codec.binary.BaseNCodecInputStream@read():49:1717:0 |==> -1
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_9,a78ca6f0a992133e1682ecdd5e5c1f770d66754688df37e1bff7e91eea9fa8a5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,POS:0,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),49,1720,1,0,9:LVR:POS:0:org.apache.commons.codec.binary.BaseNCodecInputStream@read():49:1720:1 |==> 0
defects4j,Codec_9,codec_9f_read__line76_117,major_full_catalog_try2,read,major_10,b0cf5c0385dd992e5f08b9bb01f159f90bde71109ed4cbc11a37f2a371bf9332,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/codec_9f_read__line76_117/run.log,LVR,POS:NEG,org.apache.commons.codec.binary.BaseNCodecInputStream,read(),49,1720,1,-1,10:LVR:POS:NEG:org.apache.commons.codec.binary.BaseNCodecInputStream@read():49:1720:1 |==> -1
