dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_1,4ffaf48ec2b6783e8f61a2c936e92a103a63ee2049b8a95522beeab1120ae441,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<METHOD_INVOCATION(byte[])>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1011,37421,ze.getLocalFileDataExtra(),null,"1:EVR:<METHOD_INVOCATION(byte[])>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1011:37421:ze.getLocalFileDataExtra() |==> null"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_2,bdda3b465cbfe3150aaa8f80413373ba4a11befb4424806f6035e7e64ef80c04,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<MINUS(int)>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1012,37466,name.limit() - name.position(),0,"2:EVR:<MINUS(int)>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1012:37466:name.limit() - name.position() |==> 0"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_3,d55cabb8c3f851d7fa6b5f3027980bda6988e33388630f08c4d7cbe71061076d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<PLUS(int)>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1013,37532,LFH_FILENAME_OFFSET + nameLen + extra.length,0,"3:EVR:<PLUS(int)>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1013:37532:LFH_FILENAME_OFFSET + nameLen + extra.length |==> 0"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_4,429bff623d9beb43b3752abe9c531386fe3fe28722844b34dda1edb3823b0210,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<NEW_ARRAY(byte[])>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1014,37569,new byte[len],null,"4:EVR:<NEW_ARRAY(byte[])>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1014:37569:new byte[len] |==> null"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_5,3380f0f9196221340d6f84c3afb7b68523a6310ba3ca48f158ba18c90811bdd3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,LVR,0:POS,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1016,37620,0,1,"5:LVR:0:POS:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1016:37620:0 |==> 1"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_6,9b77f13a22bd290251aedc834ed2d3fd586674787917b1a73a15a35a35b0d06c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,LVR,0:NEG,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1016,37620,0,-1,"6:LVR:0:NEG:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1016:37620:0 |==> -1"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_7,5c18fdbe303313f1e2eb4cdcda63ca7720fcafc1b81b0cc4269ef82f5d07aa57,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1019,37768,ze.getMethod(),0,"7:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1019:37768:ze.getMethod() |==> 0"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_8,840a52e9288945d086bff8721f702d9499d33d439ea153ccf24cc0a1f4636653,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,EVR,<METHOD_INVOCATION(org.apache.commons.compress.archivers.zip.GeneralPurposeBit)>:<DEFAULT>,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1027,38113,"getGeneralPurposeBits(zipMethod, !encodable && fallbackToUTF8)",null,"8:EVR:<METHOD_INVOCATION(org.apache.commons.compress.archivers.zip.GeneralPurposeBit)>:<DEFAULT>:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1027:38113:getGeneralPurposeBits(zipMethod, !encodable && fallbackToUTF8) |==> null"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_9,3d313eada16913b71dce26f86fc93997a3abc7191f94cc9674a34de071f9b354,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1036,38405,phased,false,"9:COR:<IDENTIFIER(boolean)>:FALSE:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1036:38405:phased |==> false"
defects4j,Compress_29,compress_29f_createLocalFileHeader__line1009_1073,major_full_catalog_try2,createLocalFileHeader,major_10,bd2d9e95513ac065759ea274e0a7d8fa95ca8b36f69eea6b53d9b35dfce2689c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/compress_29f_createLocalFileHeader__line1009_1073/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,"createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean)",1036,38405,phased,true,"10:COR:<IDENTIFIER(boolean)>:TRUE:org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream@createLocalFileHeader(org.apache.commons.compress.archivers.zip.ZipArchiveEntry,java.nio.ByteBuffer,boolean,boolean):1036:38405:phased |==> true"
