dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_1,515e62a15f646a64e0258b86dde206aaf0385de4470033b3132250aabffc5f8e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,TRUE:FALSE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),316,10998,true,false,1:LVR:TRUE:FALSE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):316:10998:true |==> false
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_2,ec34108b39972746096d351c66c3ab9e4be7fa8f27ef934f468a51572cdc8f8b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),319,11060,false,true,2:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):319:11060:false |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_3,2915b7c9ea0b4e15fee65a08aaf647c0dd6dbbf2e837681d72f03c2325148e42,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),322,11140,false,true,3:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):322:11140:false |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_4,45506b446e7ca8a1e76d80dd0cf50d3f7f8a6e3d04327dcc9034e02e2b369010,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,EVR,<TYPE_CAST(org.apache.commons.csv.CSVFormat)>:<DEFAULT>,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),325,11190,(CSVFormat)obj,null,4:EVR:<TYPE_CAST(org.apache.commons.csv.CSVFormat)>:<DEFAULT>:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):325:11190:(CSVFormat)obj |==> null
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_5,f97c7916c7bf0d2bdffbd8054b453650bcb7e04a4c7fce724680e7df5f7db073,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),327,11270,false,true,5:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):327:11270:false |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_6,7ff768b382768b1e3042ff32bb68c061b3295ed299a69b440264a96c56aed4d2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),330,11354,false,true,6:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):330:11354:false |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_7,13d69cc4c999bc7294eaa5a69546d659110817615d3b850d6eba3bd0899329c9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),334,11470,false,true,7:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):334:11470:false |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_8,3fd5adde9a4aec0b4527327dc77f907702590c79ed4c6a06ea8f7774f9209bb8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),336,11527,quoteChar.equals(other.quoteChar),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):336:11527:quoteChar.equals(other.quoteChar) |==> false
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_9,9ab5554a076df7b3334c15333822fa0ffb26eb26d46bbddf05a538cc214764a4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),336,11527,quoteChar.equals(other.quoteChar),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):336:11527:quoteChar.equals(other.quoteChar) |==> true
defects4j,Csv_4,csv_4f_equals__line313_370,major_full_catalog_try2,equals,major_10,d52a142e94d141ad44fcf39d4f9fedff4fa441e246d6f175ce6736de421317a4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/csv_4f_equals__line313_370/run.log,LVR,FALSE:TRUE,org.apache.commons.csv.CSVFormat,equals(java.lang.Object),337,11567,false,true,10:LVR:FALSE:TRUE:org.apache.commons.csv.CSVFormat@equals(java.lang.Object):337:11567:false |==> true
