dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_1,0d5e2d4dbcf0ae6dd9d3a431d4d487ab6710742adeb20251b89cf61504de475a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<IDENTIFIER(com.fasterxml.jackson.databind.util.TokenBuffer.Segment)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),206,6393,_first,null,1:EVR:<IDENTIFIER(com.fasterxml.jackson.databind.util.TokenBuffer.Segment)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):206:6393:_first |==> null
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_2,bf2d248e3127c288c2fbde765630e3479cd018016c4cc0ad93ec6c753c9a8fb5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,LVR,NEG:0,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),207,6419,-1,0,2:LVR:NEG:0:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):207:6419:-1 |==> 0
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_3,b0133134ebee527e4a7dd6d0e8ce26f26f4c47721900be680dd4a028c795f28b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,LVR,NEG:POS,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),207,6419,-1,1,3:LVR:NEG:POS:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):207:6419:-1 |==> 1
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_4,4470128937b62b5f6f82e2e50cf04c8ec77b5672b431cda174067b6204bfadfe,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,LVR,0:POS,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),211,6524,0,1,4:LVR:0:POS:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):211:6524:0 |==> 1
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_5,9de33abe8e2879b9f86f310e905795d7f043f4387c9955f522d38cd9fcc91565,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,LVR,0:NEG,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),211,6524,0,-1,5:LVR:0:NEG:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):211:6524:0 |==> -1
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_6,19043b5e6336617bb375ab2b3d5e357d4ec3985295ddb7c4735d2b1923a68209,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.util.TokenBuffer.Segment)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),212,6565,segment.next(),null,6:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.util.TokenBuffer.Segment)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):212:6565:segment.next() |==> null
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_7,8a8813e97bb63a59e1bdc6f04905cc2902ef18321ca7310e77eb97ddca6fae83,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.core.JsonToken)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),215,6665,segment.type(ptr),null,7:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.core.JsonToken)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):215:6665:segment.type(ptr) |==> null
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_8,9f5e6f65d84249e79f18e06e849caab6a552a2d1bfe996391aff9770a63b24da,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),235,7344,segment.get(ptr),null,8:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):235:7344:segment.get(ptr) |==> null
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_9,f0837ecde47535a34e80703c358039a2bb9300528ff08389675580e24e7366f9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),245,7699,segment.get(ptr),null,9:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):245:7699:segment.get(ptr) |==> null
defects4j,JacksonDatabind_1,jacksondatabind_1f_serialize__line203_303,major_full_catalog_try2,serialize,major_10,9e356215a9052cac6001308482b6cae43238fb349f8b716c11c1711f3d5f13ac,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_1f_serialize__line203_303/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,com.fasterxml.jackson.databind.util.TokenBuffer,serialize(com.fasterxml.jackson.core.JsonGenerator),255,8075,segment.get(ptr),null,10:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:com.fasterxml.jackson.databind.util.TokenBuffer@serialize(com.fasterxml.jackson.core.JsonGenerator):255:8075:segment.get(ptr) |==> null
