dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_1,75049a09aa79b5e6fc9260b65c640a300f9b19a5eb07b55d6a7d37fcbd22c108,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.JsonSerializer<capture#654 of ?>)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",606,25411,"serializers.findCollectionSerializer(config, type, beanDesc, elementTypeSerializer, elementValueSerializer)",null,"1:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.JsonSerializer<capture#654 of ?>)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):606:25411:serializers.findCollectionSerializer(config, type, beanDesc, elementTypeSerializer, elementValueSerializer) |==> null"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_2,a18c5077874c8760817cd583c7a7dba46ff185a804e625022464b920fbd5d7f8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.annotation.JsonFormat.Value)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",616,25831,beanDesc.findExpectedFormat(null),null,"2:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.annotation.JsonFormat.Value)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):616:25831:beanDesc.findExpectedFormat(null) |==> null"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_3,c8b8e45cdbbef048ff8153b653e05c6fad58082a3d1915c919c19d2720b888ef,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(java.lang.Class<capture#153 of ?>)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",620,26007,type.getRawClass(),null,"3:EVR:<METHOD_INVOCATION(java.lang.Class<capture#153 of ?>)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):620:26007:type.getRawClass() |==> null"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_4,e847b160697fb1fff5b16822b7be1ea5eb2339876fc4d2776bb84b3dab52579a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",621,26057,EnumSet.class.isAssignableFrom(raw),false,"4:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):621:26057:EnumSet.class.isAssignableFrom(raw) |==> false"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_5,7d1ee8b18d8674d7a59409733fd753c55c61cc362c3d8e34fd6507c63006c1aa,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",621,26057,EnumSet.class.isAssignableFrom(raw),true,"5:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):621:26057:EnumSet.class.isAssignableFrom(raw) |==> true"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_6,5977e40d7038f7fd065e1d237a0bca395ff0df985bfcb2284326a830915daedf,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.JavaType)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",623,26216,type.getContentType(),null,"6:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.JavaType)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):623:26216:type.getContentType() |==> null"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_7,943f73fcfe61040fbc4c2712f7564a4075d136f7b2a17a846f7ceaad451a816c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",625,26351,enumType.isEnumType(),false,"7:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):625:26351:enumType.isEnumType() |==> false"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_8,e95e21429a7e652e1fc5b73126b0794db3df19fc1fdd82711ab7c7a1f4391e67,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",625,26351,enumType.isEnumType(),true,"8:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):625:26351:enumType.isEnumType() |==> true"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_9,e9b124c0a7c51716f07f4610e3586012d005a5480ab5e104156767b08ddf064c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(com.fasterxml.jackson.databind.JsonSerializer<capture#205 of ?>)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",628,26456,buildEnumSetSerializer(enumType),null,"9:EVR:<METHOD_INVOCATION(com.fasterxml.jackson.databind.JsonSerializer<capture#205 of ?>)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):628:26456:buildEnumSetSerializer(enumType) |==> null"
defects4j,JacksonDatabind_2,jacksondatabind_2f_buildCollectionSerializer__line598_660,major_full_catalog_try2,buildCollectionSerializer,major_10,f0218049a451980c0b6f6f87bd00373fce769864ed867a0cb2efa6df8d7d07fc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksondatabind_2f_buildCollectionSerializer__line598_660/run.log,EVR,<METHOD_INVOCATION(java.lang.Class<capture#393 of ?>)>:<DEFAULT>,com.fasterxml.jackson.databind.ser.BasicSerializerFactory,"buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>)",630,26560,type.getContentType().getRawClass(),null,"10:EVR:<METHOD_INVOCATION(java.lang.Class<capture#393 of ?>)>:<DEFAULT>:com.fasterxml.jackson.databind.ser.BasicSerializerFactory@buildCollectionSerializer(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription,boolean,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer<java.lang.Object>):630:26560:type.getContentType().getRawClass() |==> null"
