dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_1,de89818ab7aff6542eef6b194b3d6629272b5da8809c1fe564df1e0e7fd314e9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<METHOD_INVOCATION(A)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",86,2643,annotated.getAnnotation(annotationClass),null,"1:EVR:<METHOD_INVOCATION(A)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):86:2643:annotated.getAnnotation(annotationClass) |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_2,f3922ece489d72a54e94a74132d74b0d8c6e45d9dad9d31ebf648d0cb595c6b6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<IDENTIFIER(A)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",88,2715,annotation,null,"2:EVR:<IDENTIFIER(A)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):88:2715:annotation |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_3,07abab446694975df99f5b4b9c12e1636866e8c4300aab27ed6157efed2bc198,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<METHOD_INVOCATION(java.lang.Class<capture#83 of ?>)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",92,2905,((AnnotatedParameter)annotated).getDeclaringClass(),null,"3:EVR:<METHOD_INVOCATION(java.lang.Class<capture#83 of ?>)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):92:2905:((AnnotatedParameter)annotated).getDeclaringClass() |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_4,ad9e9ca68a03b36f00366e532608da4da7a7114b62567f7dadfd4bb184388f00,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<METHOD_INVOCATION(java.lang.reflect.AnnotatedElement)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",94,2987,annotated.getAnnotated(),null,"4:EVR:<METHOD_INVOCATION(java.lang.reflect.AnnotatedElement)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):94:2987:annotated.getAnnotated() |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_5,e86af07f2a062d3b01b43543d14135ec281699ad8855a2c436e3504bb3b19600,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<METHOD_INVOCATION(java.lang.Class<capture#30 of ?>)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",96,3102,((Member)annType).getDeclaringClass(),null,"5:EVR:<METHOD_INVOCATION(java.lang.Class<capture#30 of ?>)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):96:3102:((Member)annType).getDeclaringClass() |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_6,8aec716a9b7169401cef3f35222820dc08341fe82a7fabd9bb74dde25ed3cb65,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,COR,<IDENTIFIER(boolean)>:FALSE,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",97,3126,includeClass,false,"6:COR:<IDENTIFIER(boolean)>:FALSE:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):97:3126:includeClass |==> false"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_7,c9eb8407925b59fcfd96a3e66a81ff5b124cc6e66fabdb4c0a106e3b31069add,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,COR,<IDENTIFIER(boolean)>:TRUE,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",97,3126,includeClass,true,"7:COR:<IDENTIFIER(boolean)>:TRUE:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):97:3126:includeClass |==> true"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_8,a1e96dac5477a8103095d25d9ed9a582663d88c6b888154a2253a15b3088a065,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<TYPE_CAST(A)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",98,3175,(A)memberClass.getAnnotation(annotationClass),null,"8:EVR:<TYPE_CAST(A)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):98:3175:(A)memberClass.getAnnotation(annotationClass) |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_9,0f578259b595c4f7db1571fd4ce2a7f8bb2ac28791a5f0a2381b2050c48c4449,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<IDENTIFIER(A)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",100,3300,annotation,null,"9:EVR:<IDENTIFIER(A)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):100:3300:annotation |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_findAnnotation__line82_128,major_full_catalog_try2,findAnnotation,major_10,cc24dcfc97e45df652cb62df03a0fe3d9332e175d565ee798180cc1b783fd460,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_findAnnotation__line82_128/run.log,EVR,<TYPE_CAST(java.lang.Class<capture#482 of ?>)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector,"findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean)",104,3436,(Class<?>)annType,null,"10:EVR:<TYPE_CAST(java.lang.Class<capture#482 of ?>)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.jaxb.XmlJaxbAnnotationIntrospector@findAnnotation(java.lang.Class<A>,com.fasterxml.jackson.databind.introspect.Annotated,boolean,boolean,boolean):104:3436:(Class<?>)annType |==> null"
