dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_1,021bd76b9d74a5e594b581b722138b26df51e8035c8944a9e7bb1f06bc7eb97b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<TYPE_CAST(com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",165,5856,(ToXmlGenerator)gen0,null,"1:EVR:<TYPE_CAST(com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):165:5856:(ToXmlGenerator)gen0 |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_2,35efc1f581e67b0e42a4c8389655ba30894818ac5e70ab1bdacec8ca1a0f952f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<IDENTIFIER(com.fasterxml.jackson.databind.ser.BeanPropertyWriter[])>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",168,6015,_filteredProps,null,"2:EVR:<IDENTIFIER(com.fasterxml.jackson.databind.ser.BeanPropertyWriter[])>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):168:6015:_filteredProps |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_3,0972e400be862e7415b1c793c267b5c71582cd48d456f4c37218b27eee56ffca,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<IDENTIFIER(com.fasterxml.jackson.databind.ser.BeanPropertyWriter[])>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",170,6068,_props,null,"3:EVR:<IDENTIFIER(com.fasterxml.jackson.databind.ser.BeanPropertyWriter[])>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):170:6068:_props |==> null"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_4,a2b02a1be1e432bac253020655dbb49ff0853ae0b1c7847afc4f770a5e1c2685,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<IDENTIFIER(int)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",173,6117,_attributeCount,0,"4:EVR:<IDENTIFIER(int)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):173:6117:_attributeCount |==> 0"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_5,c598b4bad75ab322c637492d8de2faad20bd49a9d2af9336c824d28523bdb6e2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<MEMBER_SELECT(boolean)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",174,6174,xgen._nextIsAttribute,false,"5:EVR:<MEMBER_SELECT(boolean)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):174:6174:xgen._nextIsAttribute |==> false"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_6,6340786ce75fb50aa6419b03e5bdf498b030e156514f4b13e5f08d619527a593,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,LVR,0:POS,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",175,6217,0,1,"6:LVR:0:POS:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):175:6217:0 |==> 1"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_7,472b5d4e62984b0a08b2c83c48f6a3a99260da90e1a68499b5f32a8ecb317383,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,LVR,0:NEG,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",175,6217,0,-1,"7:LVR:0:NEG:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):175:6217:0 |==> -1"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_8,e3d727036ef64d6e81e6a95996f046a9182dd153d81311e76b1be2e1d8f9ebe3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,LVR,TRUE:FALSE,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",176,6258,true,false,"8:LVR:TRUE:FALSE:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):176:6258:true |==> false"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_9,d8dc831c3979049dbc71356e9edded8afb09f4c19e27301f18c9dc141ba94bec,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<IDENTIFIER(int)>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",178,6305,_textPropertyIndex,0,"9:EVR:<IDENTIFIER(int)>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):178:6305:_textPropertyIndex |==> 0"
defects4j,JacksonXml_1,jacksonxml_1f_serializeFields__line155_227,major_full_catalog_try2,serializeFields,major_10,6bc89bbfb0095b7cb1fc97613b5c5140a3464758fdc35e1f07d1b64029a52162,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jacksonxml_1f_serializeFields__line155_227/run.log,EVR,<IDENTIFIER(javax.xml.namespace.QName[])>:<DEFAULT>,com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)",179,6358,_xmlNames,null,"10:EVR:<IDENTIFIER(javax.xml.namespace.QName[])>:<DEFAULT>:com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase@serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider):179:6358:_xmlNames |==> null"
