dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_1,43d66006849671c9aa54cc9c35a2cbd701420299aed2aaee955fa385ee41125b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,EVR,<IDENTIFIER(org.jsoup.nodes.Node)>:<DEFAULT>,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",82,2733,root,null,"1:EVR:<IDENTIFIER(org.jsoup.nodes.Node)>:<DEFAULT>:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):82:2733:root |==> null"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_2,04611b56d800edaf7e046613ea2ee64485f85181b287f67a26be619999dfc98a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:POS,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",83,2759,0,1,"2:LVR:0:POS:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):83:2759:0 |==> 1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_3,0790141de111a4589a0641e3991fef5506aad157a25c5d56ec66bad2d4ac42ca,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:NEG,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",83,2759,0,-1,"3:LVR:0:NEG:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):83:2759:0 |==> -1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_4,0ef7c5d982f59b0e76ca96ce5e86fd90202dd1b52152eb92cf09ce75accd1155,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,EVR,<METHOD_INVOCATION(org.jsoup.select.NodeFilter.FilterResult)>:<DEFAULT>,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",86,2839,"filter.head(node, depth)",null,"4:EVR:<METHOD_INVOCATION(org.jsoup.select.NodeFilter.FilterResult)>:<DEFAULT>:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):86:2839:filter.head(node, depth) |==> null"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_5,963fc34aacfce245c95bf7c22eb4e1b5b651bc8531e95354585ad09798b1b7ee,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,EVR,<IDENTIFIER(org.jsoup.select.NodeFilter.FilterResult)>:<DEFAULT>,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",88,2922,result,null,"5:EVR:<IDENTIFIER(org.jsoup.select.NodeFilter.FilterResult)>:<DEFAULT>:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):88:2922:result |==> null"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_6,8cfdb7ac46b585705713de323cbc6df394de7c7221c75a50b2ec70045ebeaccd,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:POS,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",90,3045,0,1,"6:LVR:0:POS:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):90:3045:0 |==> 1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_7,e74ce62d6729b0d475e3744450bcac88fea200a0ed66b2723e436213a4f8a3f0,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:NEG,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",90,3045,0,-1,"7:LVR:0:NEG:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):90:3045:0 |==> -1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_8,c1abd71d84e3d1a9639185ce0ebfefd1099cab890ad4f295649166e58cf2895f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:POS,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",91,3088,0,1,"8:LVR:0:POS:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):91:3088:0 |==> 1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_9,50b5c3d599816bb8612a89dfa3835191d996b4d22207c9310770b80aa744b178,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:NEG,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",91,3088,0,-1,"9:LVR:0:NEG:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):91:3088:0 |==> -1"
defects4j,Jsoup_66,jsoup_66f_filter__line81_125,major_full_catalog_try2,filter,major_10,f707f4ac6dcf5a88236772feceea14b4492cae7d08b4e96e5032dda13daf2d60,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_66f_filter__line81_125/run.log,LVR,0:POS,org.jsoup.select.NodeTraversor,"filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node)",96,3256,0,1,"10:LVR:0:POS:org.jsoup.select.NodeTraversor@filter(org.jsoup.select.NodeFilter,org.jsoup.nodes.Node):96:3256:0 |==> 1"
