dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_1,2f9da0af19a02a95340c0bb17e28e124f32e58d810357f03befd5836f30c71d7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,EVR,<NEW_CLASS(org.jsoup.nodes.Document)>:<DEFAULT>,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",94,3611,new Document(baseUri),null,"1:EVR:<NEW_CLASS(org.jsoup.nodes.Document)>:<DEFAULT>:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):94:3611:new Document(baseUri) |==> null"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_2,0c52611915341d5727895a6db816dc101922be39f00f3f36e052ea62d75189f4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,0:POS,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",95,3699,0,1,"2:LVR:0:POS:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):95:3699:0 |==> 1"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_3,5a8fccf76208c351d38e116ece46a16e168cbb84c030137784816451b1b60a52,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,0:NEG,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",95,3699,0,-1,"3:LVR:0:NEG:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):95:3699:0 |==> -1"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_4,f30a6be7607d8d65fc4198a5ea30c9672198782d3b6ef70afeb88813371d1aed,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,POS:0,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",102,3963,1,0,"4:LVR:POS:0:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):102:3963:1 |==> 0"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_5,2dd7dafa9c9c7e0d054158bfa2e7f6e715eeab54e9782e7b759c5737797128fc,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,POS:NEG,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",102,3963,1,-1,"5:LVR:POS:NEG:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):102:3963:1 |==> -1"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_6,03ca17f9250e88e145361cc71fb97493afbd16c431e2a3610ddc5b2bf013196e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,NEG:0,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",103,4054,-1,0,"6:LVR:NEG:0:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):103:4054:-1 |==> 0"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_7,821b7af3e0927b630c66ea00dadc3fd0bdca71c343e9eb52659c9dc1b2138f66,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,LVR,NEG:POS,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",103,4054,-1,1,"7:LVR:NEG:POS:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):103:4054:-1 |==> 1"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_8,5eb507a6f300fc2ab9b5d380a96169044ff922dfd34a3df8da1817e8af80082e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,EVR,<METHOD_INVOCATION(org.jsoup.helper.DataUtil.BomCharset)>:<DEFAULT>,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",107,4196,"detectCharsetFromBom(firstBytes, charsetName)",null,"8:EVR:<METHOD_INVOCATION(org.jsoup.helper.DataUtil.BomCharset)>:<DEFAULT>:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):107:4196:detectCharsetFromBom(firstBytes, charsetName) |==> null"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_9,3654b31cd6e568e9d06da7852523550949082d1c5552c92e2be7bd996a79eb80,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,EVR,<MEMBER_SELECT(java.lang.String)>:<DEFAULT>,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",109,4293,bomCharset.charset,null,"9:EVR:<MEMBER_SELECT(java.lang.String)>:<DEFAULT>:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):109:4293:bomCharset.charset |==> null"
defects4j,Jsoup_67,jsoup_67f_parseInputStream__line92_155,major_full_catalog_try2,parseInputStream,major_10,05cbd34b6433deefcaf36a1063b7ed7973618e2c1df810bea90519871de21e74,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/jsoup_67f_parseInputStream__line92_155/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.jsoup.helper.DataUtil,"parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)",114,4530,Charset.forName(defaultCharset).decode(firstBytes).toString(),null,"10:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.jsoup.helper.DataUtil@parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser):114:4530:Charset.forName(defaultCharset).decode(firstBytes).toString() |==> null"
