dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_1,66161ea2682ec7cde5839aa54e8f88c38034d383a5c04137a708b26362dd97da,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,binaryBeMsb0ToHexDigit(boolean[]),492,16797,0,1,1:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[]):492:16797:0 |==> 1
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_2,eeee05fac19b66a0e74b9042d3b0bd1789a23c24fb6f811b15c9a1f2ee57f216,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,0:NEG,org.apache.commons.lang3.Conversion,binaryBeMsb0ToHexDigit(boolean[]),492,16797,0,-1,2:LVR:0:NEG:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[]):492:16797:0 |==> -1
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_3,babb762f3fb076efded587d1223bdd7c32a52a6cd6c28e135594cc02153eaa32,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,0:POS,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",512,17546,0,1,"3:LVR:0:POS:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):512:17546:0 |==> 1"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_4,c8b3c2f8978a5fb6526cadd92cd658f5b8fe9d09248fd45e56d74e736764e2ec,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,0:NEG,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",512,17546,0,-1,"4:LVR:0:NEG:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):512:17546:0 |==> -1"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_5,0f81869e6f42e2b4fe1ccdda04fab32e2eed46aa5c5209b334e572015bf78958,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",513,17598,"""Cannot convert an empty array.""","""""","5:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):513:17598:""Cannot convert an empty array."" |==> """""
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_6,8dd4dc38360a624d638c5f8feb2729a8f863188f2c0a4cae83ad015c622b1e9c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",515,17685,1,0,"6:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):515:17685:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_7,dbfbb1a1bf2c2043fa9c0cd0a552d167f1f4dd61b5ea6e4b4fecf4f625d471ee,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",515,17685,1,-1,"7:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):515:17685:1 |==> -1"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_8,409fcf6a34a842db0b89ab939d4a44ccec85e4afd03b01555bd68731da88334d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",516,17733,4,0,"8:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):516:17733:4 |==> 0"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_9,42da1359b5c900b86a592e24985219f038eec6d80fc5bc981ff505728629c4ad,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",516,17733,4,-4,"9:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):516:17733:4 |==> -4"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_10,3ea755b18f7ce986b286d6a1b8442f686773b0eb1f5437e01f177c7fce6da8f9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",516,17747,1,0,"10:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):516:17747:1 |==> 0"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_11,9571dd2c3ed30043527850c56157cf5900d2dd06cd616d0079408f0b0438450d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",516,17747,1,-1,"11:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):516:17747:1 |==> -1"
defects4j,Lang_1,lang_1f_binaryBeMsb0ToHexDigit__line511_582,major_full_catalog_try2,binaryBeMsb0ToHexDigit,major_12,4987003dbf6d8292086724032f91bfd67282a92f84810fca00434e8aeddc9d14,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_binaryBeMsb0ToHexDigit__line511_582/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryBeMsb0ToHexDigit(boolean[],int)",517,17799,4,0,"12:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryBeMsb0ToHexDigit(boolean[],int):517:17799:4 |==> 0"
