dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_1,4d0edbae55d2d50d251fa5f0a091a226060d0682512774d5f8847e07508e7d5f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,EVR,<NEW_CLASS(java.lang.StringBuilder)>:<DEFAULT>,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",416,17065,new StringBuilder(),null,"1:EVR:<NEW_CLASS(java.lang.StringBuilder)>:<DEFAULT>:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):416:17065:new StringBuilder() |==> null"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_2,ad5308fca50c61e1e5ac59b0fcaee3aadd2c340cd052d5e691f24d07207d8cc1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,LVR,FALSE:TRUE,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",417,17122,false,true,"2:LVR:FALSE:TRUE:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):417:17122:false |==> true"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_3,6ee45f80555ba7cda1a1a08358364fed773290ee89557c6d6940921b3ef23e32,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,EVR,<MEMBER_SELECT(int)>:<DEFAULT>,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",418,17158,tokens.length,0,"3:EVR:<MEMBER_SELECT(int)>:<DEFAULT>:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):418:17158:tokens.length |==> 0"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_4,3009b54005d18a70e8ea0dbcd72b3bba3a7b3d8ef1d4e016c797f2a88416b35f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,LVR,0:POS,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",419,17188,0,1,"4:LVR:0:POS:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):419:17188:0 |==> 1"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_5,5fc9945226bad59fe34ad11494cf08310dabe506bbe9f2fb9d32f566c70a0bd8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,LVR,0:NEG,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",419,17188,0,-1,"5:LVR:0:NEG:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):419:17188:0 |==> -1"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_6,00b3c073838932486dd1c04e777cb35994902b86dcdbecbbab3b3655df1afc59,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,EVR,<ARRAY_ACCESS(org.apache.commons.lang3.time.DurationFormatUtils.Token)>:<DEFAULT>,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",420,17244,tokens[i],null,"6:EVR:<ARRAY_ACCESS(org.apache.commons.lang3.time.DurationFormatUtils.Token)>:<DEFAULT>:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):420:17244:tokens[i] |==> null"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_7,9fe8c12ad690a1f73082c50be8da5c42724fb56284f01fe5010e6476a6ea010d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,EVR,<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",421,17296,token.getValue(),null,"7:EVR:<METHOD_INVOCATION(java.lang.Object)>:<DEFAULT>:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):421:17296:token.getValue() |==> null"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_8,1ef4f254410315ada55364d21050d4d8d333194c5a240ba73896b783ece488b4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",422,17344,token.getCount(),0,"8:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):422:17344:token.getCount() |==> 0"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_9,2ae894a9664349067acab5699eb4d4c8008819890ac3ed6767e58cdb0a5a7e84,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",427,17536,padWithZeros,false,"9:COR:<IDENTIFIER(boolean)>:FALSE:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):427:17536:padWithZeros |==> false"
defects4j,Lang_1,lang_1f_format__line414_467,major_full_catalog_try2,format,major_10,b2434594fb8e68b02a69f5778bb0c23c8c5b1c3137135cfae78047b5687e0cd4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/lang_1f_format__line414_467/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.apache.commons.lang3.time.DurationFormatUtils,"format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean)",427,17536,padWithZeros,true,"10:COR:<IDENTIFIER(boolean)>:TRUE:org.apache.commons.lang3.time.DurationFormatUtils@format(org.apache.commons.lang3.time.DurationFormatUtils.Token[],int,int,int,int,int,int,int,boolean):427:17536:padWithZeros |==> true"
