dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_1,cda2c0c556f279324b780387589c339bc3a68027bb77c44c52527c76668befc3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,LVR,0:POS,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),285,10570,0,1,1:LVR:0:POS:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):285:10570:0 |==> 1
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_2,c7f65195bf599f717967b41de6a8f67014a022435c6c74e7161f0f8209c84bf1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,LVR,0:NEG,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),285,10570,0,-1,2:LVR:0:NEG:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):285:10570:0 |==> -1
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_3,848b3e9d1b7e7d6961de287eca7a6bd3474b1a8858a9a2e80b40d4028aae3139,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(org.apache.commons.math3.linear.RealMatrix)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),286,10613,"parse(source, parsePosition)",null,"3:EVR:<METHOD_INVOCATION(org.apache.commons.math3.linear.RealMatrix)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):286:10613:parse(source, parsePosition) |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_4,ff7b22d74651cce970670583b5be8f88610f5039544186d20a1da78fa750b0fb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,LVR,0:POS,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),287,10678,0,1,4:LVR:0:POS:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):287:10678:0 |==> 1
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_5,5f6ae6a68ca5f9f3084bfaa86a20d4e64877a6985f73f975ad17be46edb87e35,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,LVR,0:NEG,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),287,10678,0,-1,5:LVR:0:NEG:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):287:10678:0 |==> -1
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_6,755c60ff0d7e7b77dca8528faeb368680695f068b1a8c8e051dcd28b782e0058,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<IDENTIFIER(org.apache.commons.math3.linear.RealMatrix)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,parse(java.lang.String),292,10899,result,null,6:EVR:<IDENTIFIER(org.apache.commons.math3.linear.RealMatrix)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String):292:10899:result |==> null
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_7,d7df90ae355ea77f56a6e9986107f523a130bce61e62ee19ec71080e87fc57d1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(int)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",303,11242,pos.getIndex(),0,"7:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):303:11242:pos.getIndex() |==> 0"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_8,398396a0467a449d95d951d3572b2aad9c4b8ba27c574d0ca78ec101649dd96a,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",305,11295,prefix.trim(),null,"8:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):305:11295:prefix.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_9,4b416bb25aa6aa0dac7fcc3c35bc113b39b9e989d6ddcb9af55000d70f6a1d26,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",306,11347,suffix.trim(),null,"9:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):306:11347:suffix.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_10,fa7b4f8a6490c5fcaf44ec7e8ca301f5c54b9112e08d2bb813e98a391f5d1f86,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",307,11405,rowPrefix.trim(),null,"10:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):307:11405:rowPrefix.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_11,47e1315de136c13eb56407861e8a500321fa505deb08ec621b3539eb46e1bfc7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",308,11463,rowSuffix.trim(),null,"11:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):308:11463:rowSuffix.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_12,2a9d2bced0d1c41542a8182a4823e117aec929ba1c0ca94e231f89d481a6c977,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",309,11533,columnSeparator.trim(),null,"12:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):309:11533:columnSeparator.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_13,7149742696ad0e6f5db4f60e69bf821122fdfc634bd30efc07454053c6d56674,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",310,11597,rowSeparator.trim(),null,"13:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):310:11597:rowSeparator.trim() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_14,ab617c6ca9532e2b56ad3dfa7b2c4ebfc3023e1b191d0777c77985cc17bc0ab2,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",314,11734,"CompositeFormat.parseFixedstring(source, trimmedPrefix, pos)",false,"14:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):314:11734:CompositeFormat.parseFixedstring(source, trimmedPrefix, pos) |==> false"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_15,30320bb0257a18f81d8052f782ea7c1b755885b425d1108e51c27ee12e2227dd,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",314,11734,"CompositeFormat.parseFixedstring(source, trimmedPrefix, pos)",true,"15:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):314:11734:CompositeFormat.parseFixedstring(source, trimmedPrefix, pos) |==> true"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_16,bc32c203480fc27554f00b67d7e466b0054c1592a14bd649022f215ecb3db0ed,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<NEW_CLASS(java.util.ArrayList<java.util.List<java.lang.Number>>)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",319,11866,new ArrayList<List<Number>>(),null,"16:EVR:<NEW_CLASS(java.util.ArrayList<java.util.List<java.lang.Number>>)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):319:11866:new ArrayList<List<Number>>() |==> null"
defects4j,Math_1,math_1f_parse__line302_394,major_full_catalog_try2,parse,major_17,669a712d2b04e3a621b88d5c7587be64f7d124c7b906adca9d731fcbe07a358c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/math_1f_parse__line302_394/run.log,EVR,<NEW_CLASS(java.util.ArrayList<java.lang.Number>)>:<DEFAULT>,org.apache.commons.math3.linear.RealMatrixFormat,"parse(java.lang.String,java.text.ParsePosition)",320,11934,new ArrayList<Number>(),null,"17:EVR:<NEW_CLASS(java.util.ArrayList<java.lang.Number>)>:<DEFAULT>:org.apache.commons.math3.linear.RealMatrixFormat@parse(java.lang.String,java.text.ParsePosition):320:11934:new ArrayList<Number>() |==> null"
