dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_1,7812b01e63297c4f87062525e0503febf17e731f5dbfe5ac81a2248e41b0a5bb,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",333,13972,isEquals,false,"1:COR:<IDENTIFIER(boolean)>:FALSE:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):333:13972:isEquals |==> false"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_2,a21b5824ce81bfe15ecd42f8d3a1bb0b71094a650b5400b1f001791570d4e29e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",333,13972,isEquals,true,"2:COR:<IDENTIFIER(boolean)>:TRUE:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):333:13972:isEquals |==> true"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_3,8993ef18303085bb1ae5199c3aff9c31dc3e78428c44c19becc8a23c99a00c6e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,EVR,<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",334,14003,this,null,"3:EVR:<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):334:14003:this |==> null"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_4,acb533a54274a641649bc0f7915634963d114708008b106e6f2d7c9867874036,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,EVR,<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",337,14064,this,null,"4:EVR:<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):337:14064:this |==> null"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_5,eb6a30283548c48d1d1e96a938e52426c102c0d7eb119ad7f8c1f9abdb6314b1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,LVR,FALSE:TRUE,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",340,14149,false,true,"5:LVR:FALSE:TRUE:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):340:14149:false |==> true"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_6,b2da9141a82374234a78b384ce3cc7795b1f409bd8ed660ce4e8845026d719e4,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,EVR,<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",341,14176,this,null,"6:EVR:<IDENTIFIER(org.mockito.internal.matchers.apachecommons.EqualsBuilder)>:<DEFAULT>:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):341:14176:this |==> null"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_7,ffb5e47ec853fe03a2a7d2410bf8686068d7ee6457dad271d355d206fa762355,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,EVR,<METHOD_INVOCATION(java.lang.Class<capture#971 of ? extends java.lang.Object>)>:<DEFAULT>,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",343,14229,lhs.getClass(),null,"7:EVR:<METHOD_INVOCATION(java.lang.Class<capture#971 of ? extends java.lang.Object>)>:<DEFAULT>:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):343:14229:lhs.getClass() |==> null"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_8,1f29503372ddba391b926b7e3d5df4440ea8bf57c8de55547e562c88c0a1c241,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",344,14262,lhsClass.isArray(),false,"8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):344:14262:lhsClass.isArray() |==> false"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_9,dc967b3c55862876a1b0e96543b36e48089d4e7e9fdd17bd3d54f85c0a987a02,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",344,14262,lhsClass.isArray(),true,"9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):344:14262:lhsClass.isArray() |==> true"
defects4j,Mockito_1,mockito_1f_append__line332_378,major_full_catalog_try2,append,major_10,0d7a64329696cd7b1e0b7012949979d82f286434728d9fdc1ec350ed8c2ba477,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/mockito_1f_append__line332_378/run.log,LVR,0:POS,org.mockito.internal.matchers.apachecommons.EqualsBuilder,"append(java.lang.Object,java.lang.Object)",346,14460,0,1,"10:LVR:0:POS:org.mockito.internal.matchers.apachecommons.EqualsBuilder@append(java.lang.Object,java.lang.Object):346:14460:0 |==> 1"
