dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_1,cdecd666d17ae4f7f6282cb731dd794dc05af522da3be151a0bb98ae7bd1d71e,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",392,15699,fields.remove(DateTimeFieldType.hourOfDay()),false,"1:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):392:15699:fields.remove(DateTimeFieldType.hourOfDay()) |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_2,85035b4429fa0b30a429e5bd1f76dd7f4796d2c4120528c8d2fc450361c992af,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",393,15770,fields.remove(DateTimeFieldType.minuteOfHour()),false,"2:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):393:15770:fields.remove(DateTimeFieldType.minuteOfHour()) |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_3,4f61f368563289205d4fde9340ea77b85d7a88d3223ff8f5ee28b944b9158ef1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",394,15844,fields.remove(DateTimeFieldType.secondOfMinute()),false,"3:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):394:15844:fields.remove(DateTimeFieldType.secondOfMinute()) |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_4,dfe19afa211cf5178b16759b78eef9f62e9949773fb273fade111988b013760b,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,EVR,<METHOD_INVOCATION(boolean)>:<DEFAULT>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",395,15919,fields.remove(DateTimeFieldType.millisOfSecond()),false,"4:EVR:<METHOD_INVOCATION(boolean)>:<DEFAULT>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):395:15919:fields.remove(DateTimeFieldType.millisOfSecond()) |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_5,559fb3edaab3fa41aeedf5e19678bcea88b718e2927cdd101849e71cba80cff8,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,LVR,<CLASS>:<EMPTY>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",401,16184,"""No valid ISO8601 format for fields because Date was reduced precision: ""","""""","5:LVR:<CLASS>:<EMPTY>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):401:16184:""No valid ISO8601 format for fields because Date was reduced precision: "" |==> """""
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_6,fc95fc823b5c8331291aea5bcdb81498ba8bcc8a0323bb4486d0dba5e2fb7cf6,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",403,16299,datePresent,false,"6:COR:<IDENTIFIER(boolean)>:FALSE:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):403:16299:datePresent |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_7,3dbb2d961ffd89c9724ff312dcbcffb06d0f42f3d368e3cb16198794760006f3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",403,16299,datePresent,true,"7:COR:<IDENTIFIER(boolean)>:TRUE:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):403:16299:datePresent |==> true"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_8,68c761ee01c7ee8ff72183bcab5ce44173c40c25ab38342d2c07ffff24452916,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,LVR,<CLASS>:<EMPTY>,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",411,16628,"""No valid ISO8601 format for fields because Time was truncated: ""","""""","8:LVR:<CLASS>:<EMPTY>:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):411:16628:""No valid ISO8601 format for fields because Time was truncated: "" |==> """""
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_9,e2be88edb3fe730952e092dd1dfa6559b50ce429c51bafb9f56e79b4cab2e488,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,COR,<IDENTIFIER(boolean)>:FALSE,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",416,16897,strictISO,false,"9:COR:<IDENTIFIER(boolean)>:FALSE:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):416:16897:strictISO |==> false"
defects4j,Time_6,time_6f_time__line384_446,major_full_catalog_try2,time,major_10,56b6f5158a7152d38b929eacebd3d450456a89bb8a38c7cd325e37928caf516f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_full_catalog_try2/targets/time_6f_time__line384_446/run.log,COR,<IDENTIFIER(boolean)>:TRUE,org.joda.time.format.ISODateTimeFormat,"time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean)",416,16897,strictISO,true,"10:COR:<IDENTIFIER(boolean)>:TRUE:org.joda.time.format.ISODateTimeFormat@time(org.joda.time.format.DateTimeFormatterBuilder,java.util.Collection<org.joda.time.DateTimeFieldType>,boolean,boolean,boolean,boolean):416:16897:strictISO |==> true"
