dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_1,36dc357bd7050a10e66eb877e8342c358acdd155ec7ceab4e8f8ea74b1ba095c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,EVR,<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1899,52661,jj_scanpos,null,1:EVR:<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1899:52661:jj_scanpos |==> null
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_2,c54ba21e8f0cc9e265d5535aab412903e4cdab840d214931ef336c54390d8bfa,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1900,52689,jj_3R_62(),false,2:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1900:52689:jj_3R_62() |==> false
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_3,928eb11c130a2caff15183b624ef86a74787d148c5ca8f41e21f74426fc35502,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1900,52689,jj_3R_62(),true,3:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1900:52689:jj_3R_62() |==> true
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_4,a80797d65521a9df0d6e47a9ac328563858b69e9b60a41f0b056c19a472152ff,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,EVR,<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1901,52712,xsp,null,4:EVR:<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1901:52712:xsp |==> null
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_5,694037aa9efe0b4ea7cf11740493e1064525398989ae88bbded028a1919f5ff7,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1902,52733,jj_3R_63(),false,5:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1902:52733:jj_3R_63() |==> false
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_6,ec550172cfa2ba7123a8715260f6d2f7f7cc7a7a69193b933bb55f06787fc07d,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1902,52733,jj_3R_63(),true,6:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1902:52733:jj_3R_63() |==> true
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_7,3103901053acdabfa07fef51d6d47a69b7bcb3499c9fdabea871a96277ebdaca,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,EVR,<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1903,52756,xsp,null,7:EVR:<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1903:52756:xsp |==> null
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_8,583d0ccfb3e6be20a2437eec0df30a84913c680af04098012a9306e5566c0e9f,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:FALSE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1904,52777,jj_3R_64(),false,8:COR:<METHOD_INVOCATION(boolean)>:FALSE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1904:52777:jj_3R_64() |==> false
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_9,7cc9fa4bd7e532cc86ea6e1bcb8e6b3e07e38f890a0a309e4f26a5128bdcb1e5,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,COR,<METHOD_INVOCATION(boolean)>:TRUE,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1904,52777,jj_3R_64(),true,9:COR:<METHOD_INVOCATION(boolean)>:TRUE:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1904:52777:jj_3R_64() |==> true
defects4j,JxPath_1,jxpath_1f_jj_3R_18__line1897_1990,major_with_exports,jj_3R_18,major_10,69ac8c469b06c442d72d2aca1120c932ee3bae7af36c55b4bc886ecc0393e630,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/jxpath_1f_jj_3R_18__line1897_1990/run.log,EVR,<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>,org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_18(),1905,52800,xsp,null,10:EVR:<IDENTIFIER(org.apache.commons.jxpath.ri.parser.Token)>:<DEFAULT>:org.apache.commons.jxpath.ri.parser.XPathParser@jj_3R_18():1905:52800:xsp |==> null
