dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path,operator,mutation_descriptor,owner,method,source_line,instruction_index,original_expression,replacement_expression,raw_mutant
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_1,dcb46e48da6432c4adc6998a38f3e50d9e9b0f0927888b223f8eb3aedd63c5db,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",404,13978,8,0,"1:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):404:13978:8 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_2,fa5584b88194d799f0f9ccd17e679b7e034c7dc00071870ee3e96266fcb9f1b9,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",404,13978,8,-8,"2:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):404:13978:8 |==> -8"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_3,7f59babe51be34c40cc734202264b047b14c34c10f6ce70127bfb6b2ac744714,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",405,14030,"""src.length>8: src.length=""","""""","3:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):405:14030:""src.length>8: src.length="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_4,e3b13b1da0d0fdf885c74e783774e7a0341fe8862b81fc54e46e1b64afd28164,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",407,14117,4,0,"4:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):407:14117:4 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_5,070376799d2f66ef5436842886e486a1d879bb63e6937699a4089a631f632c0c,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",407,14117,4,-4,"5:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):407:14117:4 |==> -4"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_6,72d91d8dbd3976f78b9cb95b499a7de4be5ccfda0dc7085927b3cb8127b70ec1,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",408,14169,"""src.length-srcPos<4: src.length=""","""""","6:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):408:14169:""src.length-srcPos<4: src.length="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_7,823d0977e5992cd34a21d5bff622a6771261159a8f5babb6edb18080e78373d3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,<CLASS>:<EMPTY>,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",410,14251,""", srcPos=""","""""","7:LVR:<CLASS>:<EMPTY>:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):410:14251:"", srcPos="" |==> """""
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_8,c5e9b992d4b15a459531df75d2cb576b388b1df946c0fb83006bd04e71c1ff43,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",413,14325,3,0,"8:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):413:14325:3 |==> 0"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_9,ac3b472d94463c2a4c9a22087009b78125b2c1165c16f95db26e4ae66e2e0479,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:NEG,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",413,14325,3,-3,"9:LVR:POS:NEG:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):413:14325:3 |==> -3"
defects4j,Lang_1,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,major_with_exports,binaryToHexDigitMsb0_4bits,major_10,f5191bb107238fc0eca32d0aa5a35b1d04142d87a9442ca115fc334a1525f8a3,SUCCESS,NOT_RUN,,True,harness/executions/java/major/major_with_exports/targets/lang_1f_binaryToHexDigitMsb0_4bits__line403_474/run.log,LVR,POS:0,org.apache.commons.lang3.Conversion,"binaryToHexDigitMsb0_4bits(boolean[],int)",414,14360,2,0,"10:LVR:POS:0:org.apache.commons.lang3.Conversion@binaryToHexDigitMsb0_4bits(boolean[],int):414:14360:2 |==> 0"
