target_id,subject,function,file,start_line,end_line,status,mmlc_returncode,checkout_returncode,compile_returncode,generated_mutants,mutants_log_count,mmlc_elapsed_sec,checkout_elapsed_sec,compile_elapsed_sec,total_elapsed_sec,target_dir,summary_json,log_file
chart_6f_calculateLabelAnchorPoint__line899_999,Chart_6,calculateLabelAnchorPoint,source/org/jfree/chart/renderer/category/BarRenderer.java,899,999,ok,0,0,0,0,0,0.496,3.946,25.299,30.51,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_calculateLabelAnchorPoint__line899_999,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_calculateLabelAnchorPoint__line899_999/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_calculateLabelAnchorPoint__line899_999/run.log
chart_1f_readResolve__line213_291,Chart_1,readResolve,source/org/jfree/chart/labels/ItemLabelAnchor.java,213,291,ok,0,0,0,76,76,0.489,3.975,30.585,35.833,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_readResolve__line213_291,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_readResolve__line213_291/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_readResolve__line213_291/run.log
chart_4f_deriveRotationAnchorOffsets__line686_768,Chart_4,deriveRotationAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,686,768,ok,0,0,0,0,0,0.487,3.919,29.158,34.259,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveRotationAnchorOffsets__line686_768,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveRotationAnchorOffsets__line686_768/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveRotationAnchorOffsets__line686_768/run.log
chart_4f_deriveTextBoundsAnchorOffsets__line599_673,Chart_4,deriveTextBoundsAnchorOffsets,source/org/jfree/chart/text/TextUtilities.java,599,673,ok,0,0,0,0,0,0.448,4.051,29.278,34.573,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveTextBoundsAnchorOffsets__line599_673,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveTextBoundsAnchorOffsets__line599_673/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_4f_deriveTextBoundsAnchorOffsets__line599_673/run.log
chart_1f_clipLine__line62_141,Chart_1,clipLine,source/org/jfree/chart/util/LineUtilities.java,62,141,ok,0,0,0,0,0,0.461,3.976,29.747,34.931,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_clipLine__line62_141,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_clipLine__line62_141/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_clipLine__line62_141/run.log
chart_6f_equals__line1488_1582,Chart_6,equals,source/org/jfree/chart/plot/SpiderWebPlot.java,1488,1582,ok,0,0,0,0,0,0.456,3.782,24.509,29.548,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_equals__line1488_1582,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_equals__line1488_1582/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_6f_equals__line1488_1582/run.log
chart_1f_updatePlotProperties__line524_612,Chart_1,updatePlotProperties,source/org/jfree/chart/editor/DefaultPlotEditor.java,524,612,ok,0,0,0,0,0,0.469,4.105,29.84,35.147,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_updatePlotProperties__line524_612,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_updatePlotProperties__line524_612/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_1f_updatePlotProperties__line524_612/run.log
chart_20f_addSWTListener__line1460_1488,Chart_20,addSWTListener,swt/org/jfree/experimental/chart/swt/ChartComposite.java,1460,1488,ok,0,0,0,0,0,0.471,3.747,23.562,28.569,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_addSWTListener__line1460_1488,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_addSWTListener__line1460_1488/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_addSWTListener__line1460_1488/run.log
chart_20f_widgetSelected__line1386_1433,Chart_20,widgetSelected,swt/org/jfree/experimental/chart/swt/ChartComposite.java,1386,1433,ok,0,0,0,0,0,0.475,3.73,23.203,28.111,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_widgetSelected__line1386_1433,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_widgetSelected__line1386_1433/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_20f_widgetSelected__line1386_1433/run.log
chart_25f_actionPerformed__line1315_1371,Chart_25,actionPerformed,source/org/jfree/chart/ChartPanel.java,1315,1371,ok,0,0,0,0,0,0.444,3.798,23.064,28.052,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_25f_actionPerformed__line1315_1371,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_25f_actionPerformed__line1315_1371/summary.json,/home/francisco/mt-harness/harness/executions/major/defects4j_final_catalog_full_per_target_rerun_v2/targets/chart_25f_actionPerformed__line1315_1371/run.log
