project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m02,b9b29f9a14ed62285fb8f0f5241ef11a2b0a4b460e23c28c86a2e5bc9f256838,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,1,1
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m02,b9b29f9a14ed62285fb8f0f5241ef11a2b0a4b460e23c28c86a2e5bc9f256838,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,1,2
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m02,b9b29f9a14ed62285fb8f0f5241ef11a2b0a4b460e23c28c86a2e5bc9f256838,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,PASS,,,,1,3
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m04,64daf5ce55243564f2e02273dc00e61928aef6e4bc6437bce54f4cd1c75a2613,SUCCESS,FAIL,True,True,True,3,3,1,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m04.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,2,1
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m04,64daf5ce55243564f2e02273dc00e61928aef6e4bc6437bce54f4cd1c75a2613,SUCCESS,FAIL,True,True,True,3,3,1,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m04.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,2,2
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m04,64daf5ce55243564f2e02273dc00e61928aef6e4bc6437bce54f4cd1c75a2613,SUCCESS,FAIL,True,True,True,3,3,1,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m04.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m05,612800bc1d757f04c0f8e16f804752e75a1feffefaaa2bbf93cc53688aba4369,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m05.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,1,1
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m05,612800bc1d757f04c0f8e16f804752e75a1feffefaaa2bbf93cc53688aba4369,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m05.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,1,2
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m05,612800bc1d757f04c0f8e16f804752e75a1feffefaaa2bbf93cc53688aba4369,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m05.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,PASS,,,,1,3
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m07,b72feb121481e6f9f0a14fe652ee58b08b556ee65c133a0b1539771df321516e,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m07.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,2,1
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m07,b72feb121481e6f9f0a14fe652ee58b08b556ee65c133a0b1539771df321516e,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m07.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,2,2
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m07,b72feb121481e6f9f0a14fe652ee58b08b556ee65c133a0b1539771df321516e,SUCCESS,PASS,False,False,True,3,3,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m07.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,PASS,,,,2,3
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m08,6874f377c3a4c8b0f96e854c70b0c2f44950347647a05915f2c3feabfa5a7a4d,SUCCESS,FAIL,True,True,True,3,3,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m08.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Codec,Codec_1,batch01__Codec_1__handleG__codec_1f_handleG_line418,codec_1f_handleG__line418_469,handleG,m08,6874f377c3a4c8b0f96e854c70b0c2f44950347647a05915f2c3feabfa5a7a4d,SUCCESS,FAIL,True,True,True,3,3,2,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Codec_1__handleG__codec_1f_handleG_line418/execution/m08.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,1,2
