project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testIsEmpty,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,1
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySet,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,2
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySetByValue,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,3
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testSize,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,4
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testValues,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,5
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,e14bccb3496e5b6e59d1223a6b8cce962bc63673119999d737fcbba160fb9946,SUCCESS,FAIL,False,False,True,6,0,0,0,0,6,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testValuesByValue,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",1,6
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,442791ae9dc1cfb463b92add15dc59ad197fb08a52d5e29d43785d3da3c0c6c1,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testIsEmpty,True,True,PASS,,,,2,1
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,442791ae9dc1cfb463b92add15dc59ad197fb08a52d5e29d43785d3da3c0c6c1,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySet,True,True,PASS,,,,2,2
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,442791ae9dc1cfb463b92add15dc59ad197fb08a52d5e29d43785d3da3c0c6c1,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySetByValue,True,True,PASS,,,,2,3
Collections,Collections_1,batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,442791ae9dc1cfb463b92add15dc59ad197fb08a52d5e29d43785d3da3c0c6c1,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch01/runs/batch01__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testSize,True,True,PASS,,,,2,4
