project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.annotations.junit.XYBoxAnnotationTests::testDrawWithNullInfo,True,True,PASS,,,,1,1
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.annotations.junit.XYTitleAnnotationTests::testDrawWithNullInfo,True,True,PASS,,,,1,2
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.axis.junit.SubCategoryAxisTests::test2275695,True,True,PASS,,,,1,3
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,4
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo,True,True,PASS,,,,1,5
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.BarChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,6
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,7
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2,True,True,PASS,,,,1,8
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo,True,True,PASS,,,,1,9
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.LineChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,10
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo,True,True,PASS,,,,1,11
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,12
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.StackedBarChart3DTests::testDrawWithNullInfo,True,True,PASS,,,,1,13
Chart,Chart_4,batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,chart_4f_deriveRotationAnchorOffsets__line686_768,deriveRotationAnchorOffsets,m02,0fb940343699806086f40e143eb5385dad8ee31d20e1947212340439b0d74f89,SUCCESS,PASS,False,False,True,65,65,0,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686/execution/m02.log,org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo,True,True,PASS,,,,1,14
