project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,1
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,2
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,3
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,4
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testClose,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,5
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testDefaultFormat,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,6
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,7
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,8
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,9
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,10
Csv,Csv_4,batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185,csv_4f_parseSimpleToken__line185_217,parseSimpleToken,m04,f6a0e0f10f6ec399b3b646f6a222516cf26ee76b13f54c44eed01affc86b8125,FAIL,NOT_RUN,False,False,False,62,0,0,0,0,62,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__Csv_4__parseSimpleToken__csv_4f_parseSimpleToken_line185/execution/m04.log,org.apache.commons.csv.CSVParserTest::testExcelFormat1,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,11
