project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.BugsTest::test13666,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,1
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.BugsTest::test21215,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,2
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.TestHelpFormatter::testAutomaticUsage,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,3
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.TestHelpFormatter::testFindWrapPos,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,4
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.TestHelpFormatter::testPrintOptions,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,5
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.TestHelpFormatter::testPrintWrapped,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,6
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m01,3f0772898645efbfe4b85fc48269910908c0887d8ee43cd8b30c278f4d48f87b,FAIL,NOT_RUN,False,False,False,7,0,0,0,0,7,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m01.log,org.apache.commons.cli.bug.BugCLI18Test::testCLI18,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,7
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m02,501e43e20e4998b21aae0f1433d57829e7610de1078ba708548dbada483eeafd,SUCCESS,FAIL,True,True,True,7,7,7,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m02.log,org.apache.commons.cli.BugsTest::test13666,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m02,501e43e20e4998b21aae0f1433d57829e7610de1078ba708548dbada483eeafd,SUCCESS,FAIL,True,True,True,7,7,7,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m02.log,org.apache.commons.cli.BugsTest::test21215,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Cli,Cli_1,batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,cli_1f_findWrapPos__line789_833,findWrapPos,m02,501e43e20e4998b21aae0f1433d57829e7610de1078ba708548dbada483eeafd,SUCCESS,FAIL,True,True,True,7,7,7,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_1__findWrapPos__cli_1f_findWrapPos_line789/execution/m02.log,org.apache.commons.cli.TestHelpFormatter::testAutomaticUsage,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
