project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.DocumentationTest::testBasicUsage,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.DocumentationTest::testExampleAnt,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.application.CpTest::testHelp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.bug.BugCLI18Test::testBug,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.commandline.ParserTest::testParseAndHelp_ByHelpOption,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.commandline.ParserTest::testParseAndHelp_ByHelpTrigger,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.commandline.ParserTest::testParseAndHelp_WithUnexpectedOption,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.option.NestedGroupTest::testNestedGroupHelp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,8
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testComparator,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,9
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testGutters,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrint,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,11
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintException,True,True,PASS,,,,1,12
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintFooter,True,True,PASS,,,,1,13
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintHeader,True,True,PASS,,,,1,14
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintHelp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,15
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintHelp_TooNarrow,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,16
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintHelp_WithException,True,True,PASS,,,,1,17
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testPrintUsage,True,True,PASS,,,,1,18
Cli,Cli_7,batch04__Cli_7__wrap__cli_7f_wrap_line340,cli_7f_wrap__line340_438,wrap,m06,b0e9055b86f0cd8101b4bd0bae8a96168cb0583004ea1b46522d69f51a7174eb,SUCCESS,FAIL,True,True,True,26,26,13,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Cli_7__wrap__cli_7f_wrap_line340/execution/m06.log,org.apache.commons.cli2.util.HelpFormatterTest::testWrap,True,True,PASS,,,,1,19
