project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testBugzilla38401,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testDurationsByBruteForce,True,True,PASS,,,,1,2
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testEdgeDurations,True,True,PASS,,,,1,3
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDuration,True,True,PASS,,,,1,4
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationHMS,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationISO,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationPluralWords,True,True,PASS,,,,1,7
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatDurationWords,True,True,PASS,,,,1,8
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatPeriod,True,True,PASS,,,,1,9
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testFormatPeriodISO,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testJiraLang281,True,True,PASS,,,,1,11
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testLANG815,True,True,PASS,,,,1,12
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.DurationFormatUtilsTest::testLowDurations,True,True,PASS,,,,1,13
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.StopWatchTest::testStopWatchSimpleGet,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,14
Lang,Lang_1,batch04__Lang_1__format__lang_1f_format_line414,lang_1f_format__line414_467,format,m07,de94085d9c39f95841027eb768f16069fe44898bfa4d93e7a4e13fabdc1b3451,SUCCESS,FAIL,True,True,True,15,15,6,0,0,0,test_results.csv,harness/executions/java/llm/batch04/runs/batch04__Lang_1__format__lang_1f_format_line414/execution/m07.log,org.apache.commons.lang3.time.StopWatchTest::testStopWatchSplit,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,15
