project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.SevenZTestCase::testSevenZArchiveCreationUsingBZIP2,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,1
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.SevenZTestCase::testSevenZArchiveCreationUsingCopy,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,2
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.SevenZTestCase::testSevenZArchiveCreationUsingDeflate,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,3
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.SevenZTestCase::testSevenZArchiveCreationUsingLZMA2,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,4
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::test7zDecryptUnarchive,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,5
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::test7zDeflateUnarchive,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,6
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::test7zUnarchive,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,7
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::testHelloWorldHeaderCompressionOffCopy,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,8
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::testHelloWorldHeaderCompressionOffLZMA2,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,9
Compress,Compress_21,batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397,compress_21f_readSubStreamsInfo__line397_478,readSubStreamsInfo,m01,c40088d14e25254d2fd727814a1cb7754433a73bfee8962cd8cacfc4bd85917b,BASELINE_FAIL,BASELINE_FAIL,False,False,False,19,0,0,0,0,19,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Compress_21__readSubStreamsInfo__compress_21f_readSubStreamsInfo_line397/execution/m01.log,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testDirectoriesAndEmptyFiles,True,False,NOT_RUN,,BASELINE_FAIL,Baseline build/test failed before mutant execution,1,10
