project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBox,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBuildBox,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testCross,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testIsometry,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testTetrahedron,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20040520,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20041003,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testChoppedHexagon,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,8
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testConcentric,True,True,PASS,,,,1,9
Math,Math_36,batch05__Math_36__recurseSides__math_36f_recurseSides_line436,math_36f_recurseSides__line436_510,recurseSides,m01,51603f7af6477a86e214975ba49494bd4acabbc73b739fd310e2567226a5fd41,SUCCESS,FAIL,True,True,True,22,22,20,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Math_36__recurseSides__math_36f_recurseSides_line436/execution/m01.log,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDifference,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
