project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAllChars,True,True,PASS,,,,1,1
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty1Letter,True,True,PASS,,,,1,2
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty2Letters,True,True,PASS,,,,1,3
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeAtzNotEmpty,True,True,PASS,,,,1,4
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeGna,True,True,PASS,,,,1,5
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testInvalidLangIllegalArgumentException,True,True,PASS,,,,1,6
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testLongestEnglishSurname,True,True,PASS,,,,1,7
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testNegativeIndexForRuleMatchIndexOutOfBoundsException,True,True,PASS,,,,1,8
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck,True,True,PASS,,,,1,9
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck2,True,True,PASS,,,,1,10
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m01,1fad54a63075d8400a99a6b3466df3cee3be5bfa9909036a0be597c1ec33ab95,SUCCESS,PASS,False,False,True,11,11,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck3,True,True,PASS,,,,1,11
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAllChars,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,1
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty1Letter,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,2
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty2Letters,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,3
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeAtzNotEmpty,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,4
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeGna,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,5
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testInvalidLangIllegalArgumentException,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,6
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testLongestEnglishSurname,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,7
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testNegativeIndexForRuleMatchIndexOutOfBoundsException,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,8
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,9
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck2,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,10
Codec,Codec_11,batch06__Codec_11__pattern__codec_11f_pattern_line405,codec_11f_pattern__line405_496,pattern,m02,19d259dee2884302e4fdc38f19fd61e754b5124900fc90786886ec3d22c86089,FAIL,NOT_RUN,False,False,False,11,0,0,0,0,11,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Codec_11__pattern__codec_11f_pattern_line405/execution/m02.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck3,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,11
