group,mutants,killed_mutants,unique_target_tests,unique_failing_tests,unique_error_tests,kill_events,source_mode,wide_csv,long_csv
batch01__Chart_1__clipLine__chart_1f_clipLine_line62,8,5,3,1,0,5,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_1__clipLine__chart_1f_clipLine_line62_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_1__clipLine__chart_1f_clipLine_line62_kill_matrix_long.csv
batch01__Chart_1__readResolve__chart_1f_readResolve_line213,6,6,69,66,0,79,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_1__readResolve__chart_1f_readResolve_line213_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_1__readResolve__chart_1f_readResolve_line213_kill_matrix_long.csv
batch01__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460,2,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_20__addSWTListener__chart_20f_addSWTListener_line1460_kill_matrix_long.csv
batch01__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386,7,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_20__widgetSelected__chart_20f_widgetSelected_line1386_kill_matrix_long.csv
batch01__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517,7,0,42,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_26__drawAxisLine__chart_26f_drawAxisLine_line517_kill_matrix_long.csv
batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686,8,0,65,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_4__deriveRotationAnchorOffsets__chart_4f_deriveRotationAnchorOffsets_line686_kill_matrix_long.csv
batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599,8,0,70,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_4__deriveTextBoundsAnchorOffsets__chart_4f_deriveTextBoundsAnchorOffsets_line599_kill_matrix_long.csv
batch01__Chart_6__equals__chart_6f_equals_line1488,5,4,3,3,0,10,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_6__equals__chart_6f_equals_line1488_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Chart_6__equals__chart_6f_equals_line1488_kill_matrix_long.csv
batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298,8,5,31,26,0,74,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_14__appendUsage__cli_14f_appendUsage_line298_kill_matrix_long.csv
batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789,7,3,7,3,0,5,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_1__findWrapPos__cli_1f_findWrapPos_line789_kill_matrix_long.csv
