batch_id,run_name,dataset,project,subject,version,target_id,function,requested_mutants,accepted_mutants,rejected_mutants,acceptance_rate,executed_total_mutants,build_successes,build_success_rate,executable_mutants,executable_yield,killed_mutants,survived_mutants,mutation_score,top_rejection_reason,top_rejection_count
batch01,batch01__Lang_1__arrayMemberEquals,defects4j,Lang,Lang_1,f,lang_1f_arrayMemberEquals__line287,arrayMemberEquals,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,non_executable_structural_change: block_structure_change,8
batch01,batch01__Lang_1__equals,unknown,Lang,Lang_1,unknown,lang_1f_equals__line122,equals,8,7,1,0.875,7,4,0.5714285714285714,4,0.5714285714285714,4,0,1.0,non_executable_structural_change: block_structure_change,1
batch01,batch01__Lang_1__lastIndexOf,unknown,Lang,Lang_1,unknown,lang_1f_lastIndexOf__line1687,lastIndexOf,8,6,2,0.75,6,6,1.0,6,1.0,5,1,0.8333333333333334,non_executable_structural_change: unclosed delimiter(s): {,2
batch01,batch01__Lang_1__toMap,defects4j,Lang,Lang_1,f,lang_1f_toMap__line234,toMap,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Lang_1__add,unknown,Lang,Lang_1,unknown,lang_1f_add__line173,add,8,8,0,1.0,8,8,1.0,8,1.0,8,0,1.0,,0
batch01,batch01__Lang_1__containsAny,unknown,Lang,Lang_1,unknown,lang_1f_containsAny__line1515,containsAny,8,6,2,0.75,6,6,1.0,6,1.0,5,1,0.8333333333333334,non_executable_structural_change: block_structure_change,2
batch01,batch01__Lang_1__containsNone,unknown,Lang,Lang_1,unknown,lang_1f_containsNone__line1771,containsNone,8,8,0,1.0,8,8,1.0,8,1.0,6,2,0.75,,0
batch01,batch01__Lang_1__append,unknown,Lang,Lang_1,unknown,lang_1f_append__line821,append,8,8,0,1.0,8,8,1.0,8,1.0,7,1,0.875,,0
batch01,batch01__Lang_1__pow,unknown,Lang,Lang_1,unknown,lang_1f_pow__line546,pow,8,8,0,1.0,8,8,1.0,8,1.0,8,0,1.0,,0
batch01,batch01__Lang_1__createBigInteger,unknown,Lang,Lang_1,unknown,lang_1f_createBigInteger__line723,createBigInteger,8,6,2,0.75,6,6,1.0,6,1.0,4,2,0.6666666666666666,non_executable_change,1
batch01,batch01__Cli_1__appendOption,unknown,Cli,Cli_1,unknown,cli_1f_appendOption__line530,appendOption,8,2,6,0.25,2,2,1.0,2,1.0,1,1,0.5,non_executable_structural_change: block_structure_change,6
batch01,batch01__Cli_1__findWrapPos,unknown,Cli,Cli_1,unknown,cli_1f_findWrapPos__line789,findWrapPos,8,7,1,0.875,7,7,1.0,7,1.0,3,4,0.42857142857142855,non_executable_structural_change: unmatched closing delimiter: ),1
batch01,batch01__Cli_1__equals,unknown,Cli,Cli_1,unknown,cli_1f_equals__line600,equals,8,8,0,1.0,8,8,1.0,8,1.0,2,6,0.25,,0
batch01,batch01__Cli_1__processArgs,unknown,Cli,Cli_1,unknown,cli_1f_processArgs__line314,processArgs,8,6,2,0.75,6,4,0.6666666666666666,4,0.6666666666666666,3,1,0.75,non_executable_structural_change: block_structure_change,1
batch01,batch01__Cli_1__processProperties,unknown,Cli,Cli_1,unknown,cli_1f_processProperties__line228,processProperties,8,7,1,0.875,7,7,1.0,7,1.0,7,0,1.0,non_executable_structural_change: unmatched closing delimiter: ),1
batch01,batch01__Cli_1__isValueCode,defects4j,Cli,Cli_1,f,cli_1f_isValueCode__line136,isValueCode,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,non_executable_structural_change: unmatched closing delimiter: ),8
batch01,batch01__Cli_1__burstToken,unknown,Cli,Cli_1,unknown,cli_1f_burstToken__line278,burstToken,8,5,3,0.625,5,5,1.0,5,1.0,4,1,0.8,non_executable_structural_change: block_structure_change,2
batch01,batch01__Cli_1__createValue,unknown,Cli,Cli_1,unknown,cli_1f_createValue__line61,createValue,8,8,0,1.0,8,8,1.0,8,1.0,1,7,0.125,,0
batch01,batch01__Cli_1__option,unknown,Cli,Cli_1,unknown,cli_1f_option__line48,option,8,3,5,0.375,3,3,1.0,3,1.0,0,3,0.0,non_executable_structural_change: block_structure_change,5
batch01,batch01__Cli_1__validateOption,unknown,Cli,Cli_1,unknown,cli_1f_validateOption__line40,validateOption,8,6,2,0.75,6,6,1.0,6,1.0,5,1,0.8333333333333334,non_executable_structural_change: block_structure_change,2
