mutant_hash,org.apache.commons.csv.CSVLexerTest::testNextToken4,org.apache.commons.csv.CSVLexerTest::testNextToken5,org.apache.commons.csv.CSVLexerTest::testNextToken6,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest::testGetLine,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVPrinterTest::testRandom,n_tests_killing,killed
00a960ed020b22f179f6476e6d064a9b648bf030ef6457784600b7562439ea4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024f1606a59570e9601b8e906cafe2fdd7d14f6022c0eda4265a8deb21e19da0,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
0a38186710fa8c4a79020848634ab70790c006c19d55e1fcfb3adcdc39f0f644,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
29b7693eb536d06361d32ceffa92d0a583dac644d17d33f70dd4b3786e0f13ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a7c14df7a07799d95f58fd164cea5d419a5addfb15cb9714025a5e3e2f3d2cc,0,1,1,1,1,0,1,0,0,0,0,0,1,6,1
31e126dc7c8fa0b1720f57394d1ae913a762c01eccd6ba9950b2ff9bb6ab6778,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
424ecad9b5d1b15e084529c482640fcd9db62de264aabc9e82c83e38b301e061,1,1,0,1,1,0,0,0,0,1,1,1,1,8,1
4670258329d0ef9a373866a69aabf30888a08b91ea76a5812f6ac57ff762f2c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d7f9d4271dff267fb00b53e2f5ea6ec5040e894af1f34eac522b48bf02f76ba,0,0,1,1,0,0,0,0,0,1,1,1,1,6,1
6b4b137b0b9d4cfea6048536153bdd16f3b6d44cd160bdc07bfd50943f622393,1,1,1,0,1,0,0,0,0,1,1,1,1,8,1
792e5736c7b96e83f10f1b7760021880033cd9450ea9979edef0ae2700a6b898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d69bb6c62f6486ee2733f4caf7f1e4311004f8e02f94e4c8c08306ef71634e2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
85931a69c7094dcb2b30dcb975c04b6e0138c063afbe05130eae6725ea875510,1,1,0,1,1,0,0,0,0,1,1,1,1,8,1
91f69aaeb75297acc2f9eae157d1da57e34d7071d4b26f385a1c4351af58a41e,1,1,0,1,1,0,0,0,0,1,1,1,1,8,1
a5a6559b9bc15b62bd311966e9d630852bdabab3bf36dc5396375dab4b97d892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab73c3739bc6e948b5b6a4bc083a9ac98c101165739a332ca209b44ce291ba1c,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
b09acdb337c2ad909269378b06917124e3a9d9ab364d1ee63560d21cf26f9e0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b26d74ad0071c0f0daa95e9530f50bac01aa7f359d57af58b90400a117f5ecaf,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
c2d90eb14f96aaa27cefef8b711c9e4e3e53a0658ffd89e12a99699d548bd4cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c449284fee2c1dcc383f4ec8a5f20caadbddd97e76e23472a308820024233fca,1,1,1,1,1,0,1,0,1,1,1,1,1,11,1
d843044c18634ba638245bd5dd7aa9d77aef85350474c6e33e730ae742f7e794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9ba12f5576f901d8d7cdb2777b6587f5dc92941b572b53794d8df7a6d90a9af,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
f010bc95c5b13d60e57915b1b3e1b60a5fea263379ab7b5f9785af6c159323d9,0,1,1,1,1,1,1,1,1,1,1,1,1,12,1
f2da9f482a62f64ae3abfaa1fcf856ae9521557fef61b9f840b77eb82fc88139,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
fe8dc01ead5118c2219ca5de7d196302cbd33f62e861081702b60c8e7e0e792a,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
