project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAllChars,True,True,PASS,,,,1,1
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty1Letter,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testAsciiEncodeNotEmpty2Letters,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeAtzNotEmpty,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testEncodeGna,True,True,PASS,,,,1,5
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testLongestEnglishSurname,True,True,PASS,,,,1,6
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testOOM,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck,True,True,PASS,,,,1,8
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck2,True,True,PASS,,,,1,9
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest::testSpeedCheck3,True,True,PASS,,,,1,10
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testSolrASHKENAZI,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,11
Codec,Codec_13,batch02__Codec_13__encode__codec_13f_encode_line385,codec_13f_encode__line385_469,encode,m01,dd9abb92917bbaad16780670ec2ab169ef577f5979f5686928ba6d3b9b3958e7,SUCCESS,FAIL,True,True,True,13,13,7,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Codec_13__encode__codec_13f_encode_line385/execution/m01.log,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest::testSolrGENERIC,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,12
