project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testBaidu,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testBaiduVariant,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testGoogleSearchIpod,True,True,PASS,,,,1,3
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testHtml5Charset,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testNewsHomepage,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testNytArticle,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testSmhBizArticle,True,True,PASS,,,,1,7
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testYahooArticle,True,True,PASS,,,,1,8
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.integration.ParseTest::testYahooJp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,9
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.DocumentTest::setTextPreservesDocumentStructure,True,True,PASS,,,,1,10
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.DocumentTest::testClone,True,True,PASS,,,,1,11
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.DocumentTest::testTitles,True,True,PASS,,,,1,12
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::after,True,True,PASS,,,,1,13
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::before,True,True,PASS,,,,1,14
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::dataset,True,True,PASS,,,,1,15
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::parentlessToString,True,True,PASS,,,,1,16
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testAddNewElement,True,True,PASS,,,,1,17
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testAddNewHtml,True,True,PASS,,,,1,18
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testAppendRowToTable,True,True,PASS,,,,1,19
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testBrHasSpace,True,True,PASS,,,,1,20
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testClassUpdates,True,True,PASS,,,,1,21
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testClone,True,True,PASS,,,,1,22
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testContainerOutput,True,True,PASS,,,,1,23
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testElementSiblingIndex,True,True,PASS,,,,1,24
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testEmptyElementFormatHtml,True,True,PASS,,,,1,25
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testGetChildText,True,True,PASS,,,,1,26
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testGetElementsWithAttributeDash,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,27
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testGetParents,True,True,PASS,,,,1,28
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testHasText,True,True,PASS,,,,1,29
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testHtmlContainsOuter,True,True,PASS,,,,1,30
Jsoup,Jsoup_13,batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120,jsoup_13f_findElements__line120_152,findElements,m02,0ff2246f832ce0cb0d08b76f260995c4af94d7772509531571050ce3db699eef,SUCCESS,FAIL,True,True,True,136,136,21,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_13__findElements__jsoup_13f_findElements_line120/execution/m02.log,org.jsoup.nodes.ElementTest::testPrependNewHtml,True,True,PASS,,,,1,31
