project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.SelectorTest::selectFirst,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,1
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.SelectorTest::selectFirstWithAnd,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,2
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.SelectorTest::selectFirstWithOr,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,3
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.TraversorTest::filterRemove,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,4
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.TraversorTest::filterSkipChildren,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,5
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.TraversorTest::filterSkipEntirely,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,6
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.TraversorTest::filterStop,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,7
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m01,f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m01.log,org.jsoup.select.TraversorTest::filterVisit,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,8
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.SelectorTest::selectFirst,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,1
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.SelectorTest::selectFirstWithAnd,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,2
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.SelectorTest::selectFirstWithOr,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,3
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.TraversorTest::filterRemove,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,4
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.TraversorTest::filterSkipChildren,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,5
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.TraversorTest::filterSkipEntirely,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,6
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.TraversorTest::filterStop,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,7
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m02,42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,FAIL,NOT_RUN,False,False,False,8,0,0,0,0,8,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m02.log,org.jsoup.select.TraversorTest::filterVisit,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,8
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.SelectorTest::selectFirst,True,True,PASS,,,,1,1
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.SelectorTest::selectFirstWithAnd,True,True,PASS,,,,1,2
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.SelectorTest::selectFirstWithOr,True,True,PASS,,,,1,3
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.TraversorTest::filterRemove,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.TraversorTest::filterSkipChildren,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.TraversorTest::filterSkipEntirely,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.TraversorTest::filterStop,True,True,PASS,,,,1,7
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m03,eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,SUCCESS,FAIL,True,True,True,8,8,4,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m03.log,org.jsoup.select.TraversorTest::filterVisit,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,8
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.SelectorTest::selectFirst,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.SelectorTest::selectFirstWithAnd,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.SelectorTest::selectFirstWithOr,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.TraversorTest::filterRemove,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,4
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.TraversorTest::filterSkipChildren,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.TraversorTest::filterSkipEntirely,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,6
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.TraversorTest::filterStop,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,7
Jsoup,Jsoup_66,batch02__Jsoup_66__filter__jsoup_66f_filter_line81,jsoup_66f_filter__line81_125,filter,m04,21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,SUCCESS,FAIL,True,True,True,8,8,8,0,0,0,test_results.csv,harness/executions/java/llm/batch02/runs/batch02__Jsoup_66__filter__jsoup_66f_filter_line81/execution/m04.log,org.jsoup.select.TraversorTest::filterVisit,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,8
