project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m01,43d87705565aa2c80b171fc31b676811ae25073044e2c42e6a433fad5504a965,FAIL,NOT_RUN,False,False,False,2,0,0,0,0,2,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m01.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m01,43d87705565aa2c80b171fc31b676811ae25073044e2c42e6a433fad5504a965,FAIL,NOT_RUN,False,False,False,2,0,0,0,0,2,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m01.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,1,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m02,9783e2f07f484bae1daf33bbe13390594c231be3a44dc68b3590560bd12a64f1,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m02.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,PASS,,,,2,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m02,9783e2f07f484bae1daf33bbe13390594c231be3a44dc68b3590560bd12a64f1,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m02.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,PASS,,,,2,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m03,08c8e1ae9b5a5c548026793c6add2dcf36bd327af79942c80fbbe1eeaf4fb3bf,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m03.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,PASS,,,,1,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m03,08c8e1ae9b5a5c548026793c6add2dcf36bd327af79942c80fbbe1eeaf4fb3bf,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m03.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,PASS,,,,1,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m04,dfd61b5d8ed1faa7244a946636d28af385acfbb07fe70a2ce46a19137610ab86,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m04.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m04,dfd61b5d8ed1faa7244a946636d28af385acfbb07fe70a2ce46a19137610ab86,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m04.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m05,05907b8b485f5dff21420509872c57cb9a7f02d75fb5d589adae36f4ea45c9f4,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m05.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,PASS,,,,1,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m05,05907b8b485f5dff21420509872c57cb9a7f02d75fb5d589adae36f4ea45c9f4,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m05.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,PASS,,,,1,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m06,bb11f001b03ce121cf8489e58ba43569e2f074e3089c915784b2706853d11219,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m06.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m06,bb11f001b03ce121cf8489e58ba43569e2f074e3089c915784b2706853d11219,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m06.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m07,f91a6001cd9058c500d306fe1d059bd96501119a0d64f0d76b960a59baf1decd,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m07.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,PASS,,,,1,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m07,f91a6001cd9058c500d306fe1d059bd96501119a0d64f0d76b960a59baf1decd,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m07.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,PASS,,,,1,2
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m08,e325cdadd837eb4bb2e5f3a8ecf05edcc7cf10181f136195da7b29f23712c1e4,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m08.log,com.fasterxml.jackson.databind.jsontype.TestDefaultForObject::testTokenBuffer,True,True,PASS,,,,2,1
JacksonDatabind,JacksonDatabind_1,batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203,jacksondatabind_1f_serialize__line203_303,serialize,m08,e325cdadd837eb4bb2e5f3a8ecf05edcc7cf10181f136195da7b29f23712c1e4,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch03/runs/batch03__JacksonDatabind_1__serialize__jacksondatabind_1f_serialize_line203/execution/m08.log,com.fasterxml.jackson.databind.ser.TestJacksonTypes::testTokenBuffer,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
