project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m01,b04292b7ec5f7f80eb7679b0c0eec105484f4e1232f1f8aab346089f3c118364,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m01.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,1,1
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m01,b04292b7ec5f7f80eb7679b0c0eec105484f4e1232f1f8aab346089f3c118364,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m01.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,True,True,PASS,,,,1,2
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m01,b04292b7ec5f7f80eb7679b0c0eec105484f4e1232f1f8aab346089f3c118364,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m01.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,1,3
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m01,b04292b7ec5f7f80eb7679b0c0eec105484f4e1232f1f8aab346089f3c118364,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m01.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,PASS,,,,1,4
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m02,c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,SUCCESS,FAIL,True,True,True,4,4,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,2,1
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m02,c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,SUCCESS,FAIL,True,True,True,4,4,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,True,True,PASS,,,,2,2
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m02,c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,SUCCESS,FAIL,True,True,True,4,4,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,True,True,PASS,,,,2,3
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m02,c3aa715980f4c929da6e3370a531832b066932884b892a1ed4729a219f79f37b,SUCCESS,FAIL,True,True,True,4,4,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m02.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,4
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m03,53ac05d77719a59e47a17b205ab1c735edba97f6703a5e68ad62b20c6d3611c5,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m03.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,True,True,PASS,,,,1,1
Codec,Codec_1,batch05__Codec_1__handleC__codec_1f_handleC_line281,codec_1f_handleC__line281_330,handleC,m03,53ac05d77719a59e47a17b205ab1c735edba97f6703a5e68ad62b20c6d3611c5,SUCCESS,PASS,False,False,True,4,4,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__Codec_1__handleC__codec_1f_handleC_line281/execution/m03.log,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,True,True,PASS,,,,1,2
