project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m01,157947ebb938ada6156fb0e2bde98a624c82dd621e9fae7eac93e975fea9482c,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m01.log,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,True,True,PASS,,,,1,1
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m01,157947ebb938ada6156fb0e2bde98a624c82dd621e9fae7eac93e975fea9482c,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m01.log,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,True,True,PASS,,,,1,2
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m02,5a3ec0458240c8f039063c1d0f200e71f986c42c3bbecaf5098c615d53ebcca7,FAIL,NOT_RUN,False,False,False,2,0,0,0,0,2,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m02.log,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,1
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m02,5a3ec0458240c8f039063c1d0f200e71f986c42c3bbecaf5098c615d53ebcca7,FAIL,NOT_RUN,False,False,False,2,0,0,0,0,2,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m02.log,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,True,False,NOT_RUN,,BUILD_FAIL,Mutant build failed before test execution,2,2
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m03,bbca72a97e0933bba4e3d80f91171b96705440d14c9eb7139f54f927fdba3711,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m03.log,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,True,True,PASS,,,,1,1
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m03,bbca72a97e0933bba4e3d80f91171b96705440d14c9eb7139f54f927fdba3711,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m03.log,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,True,True,PASS,,,,1,2
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m04,bfdd0a6a2c6eb8bcafd1116b76d676d0af629ab00436636a5e8bf15187016716,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m04.log,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,True,True,PASS,,,,2,1
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m04,bfdd0a6a2c6eb8bcafd1116b76d676d0af629ab00436636a5e8bf15187016716,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m04.log,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,True,True,PASS,,,,2,2
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m05,cee5b89f72031a7a5fc9be141abde1ba95e62846c360f123b0aae2139576f5db,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m05.log,com.fasterxml.jackson.core.json.TestNextXxx::testIssue38,True,True,PASS,,,,1,1
JacksonCore,JacksonCore_1,batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527,jacksoncore_1f__skipColon__line2527_2597,_skipColon,m05,cee5b89f72031a7a5fc9be141abde1ba95e62846c360f123b0aae2139576f5db,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JacksonCore_1__skipColon__jacksoncore_1f_skipColon_line2527/execution/m05.log,com.fasterxml.jackson.core.json.TestUtf8Parser::testNextFieldName,True,True,PASS,,,,1,2
