project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testConstant,True,True,PASS,,,,1,1
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreFunction,True,True,PASS,,,,1,2
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationAnd,True,True,PASS,,,,1,3
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationDivide,True,True,PASS,,,,1,4
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationEqual,True,True,PASS,,,,1,5
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationGreaterThan,True,True,PASS,,,,1,6
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationGreaterThanOrEqual,True,True,PASS,,,,1,7
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationLessThan,True,True,PASS,,,,1,8
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationLessThanOrEqual,True,True,PASS,,,,1,9
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMinus,True,True,PASS,,,,1,10
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMod,True,True,PASS,,,,1,11
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMultiply,True,True,PASS,,,,1,12
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationNameAttributeTest,True,True,PASS,,,,1,13
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationNotEqual,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,14
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationOr,True,True,PASS,,,,1,15
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationSum,True,True,PASS,,,,1,16
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationUnaryMinus,True,True,PASS,,,,1,17
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationUnion,True,True,PASS,,,,1,18
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testExpressionPath,True,True,PASS,,,,1,19
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testExtensionFunction,True,True,PASS,,,,1,20
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisAttribute,True,True,PASS,,,,1,21
JxPath,JxPath_1,batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402,jxpath_1f_jjMoveStringLiteralDfa0_0__line402_479,jjMoveStringLiteralDfa0_0,m01,4dc7c9ffb86545da8d317cc4aca9bdd409ba848108c75e33c4e670cfb8fac278,SUCCESS,FAIL,True,True,True,136,136,1,0,0,0,test_results.csv,harness/executions/java/llm/batch05/runs/batch05__JxPath_1__jjMoveStringLiteralDfa0_0__jxpath_1f_jjMoveStringLiteralDfa0_0_line402/execution/m01.log,org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisChild,True,True,PASS,,,,1,22
