project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.DocumentationTest::testBasicUsage,True,True,PASS,,,,1,1
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.DocumentationTest::testExampleAnt,True,True,PASS,,,,1,2
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.application.CpTest::testHelp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.application.CpTest::testNoSource,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.bug.Bug27575Test::testRequiredOptions,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testAppendUsage,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,6
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testAppendUsage_Infinite,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testAppendUsage_InfiniteNoNumbering,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,8
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testAppendUsage_InfiniteNoOptional,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,9
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testAppendUsage_Minimum,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testProcessValues_ContractedTooFew,True,True,PASS,,,,1,11
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testProcessValues_ContractedTooMany,True,True,PASS,,,,1,12
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testProcess_ConsumeNothing,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,13
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testSourceDestArgument,True,True,PASS,,,,1,14
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testValidate_Maximum,True,True,PASS,,,,1,15
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testValidate_Minimum,True,True,PASS,,,,1,16
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ArgumentTest::testValidate_ValidatorInvalidDate,True,True,PASS,,,,1,17
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.GroupTest::testAppendUsage_WithArgs,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,18
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.NestedGroupTest::testNestedGroupHelp,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,19
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ParentTest::testAppendUsage,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,20
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.option.ParentTest::testAppendUsage_NoChildren,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,21
Cli,Cli_7,batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258,cli_7f_appendUsage__line258_320,appendUsage,m01,0c379ae66659acbd5cdd89dc655f581688fae3e029a044d16e4564e2ad7028ef,SUCCESS,FAIL,True,True,True,27,27,19,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Cli_7__appendUsage__cli_7f_appendUsage_line258/execution/m01.log,org.apache.commons.cli2.util.HelpFormatterTest::testComparator,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,22
