project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testIsEmpty,True,True,PASS,,,,1,1
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySet,True,True,PASS,,,,1,2
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySetByValue,True,True,PASS,,,,1,3
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testSize,True,True,PASS,,,,1,4
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testValues,True,True,PASS,,,,1,5
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m01,ae53b19c733bf0245bc793fe7bd47b2164b9b5c4741e791959b2cdc9f0200c53,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m01.log,org.apache.commons.collections.TestDoubleOrderedMap::testValuesByValue,True,True,PASS,,,,1,6
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testIsEmpty,True,True,PASS,,,,2,1
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySet,True,True,PASS,,,,2,2
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySetByValue,True,True,PASS,,,,2,3
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testSize,True,True,PASS,,,,2,4
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testValues,True,True,PASS,,,,2,5
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m02,78f0d9ff2207693bc7a58e01a8041906c6fc2b66517668d64ef9309d12e2bef5,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m02.log,org.apache.commons.collections.TestDoubleOrderedMap::testValuesByValue,True,True,PASS,,,,2,6
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m03,9974cb47f1670c6c9fc82c13a12cc8c7de22f18d7df45c887030f8f6533f0a68,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m03.log,org.apache.commons.collections.TestDoubleOrderedMap::testIsEmpty,True,True,PASS,,,,1,1
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m03,9974cb47f1670c6c9fc82c13a12cc8c7de22f18d7df45c887030f8f6533f0a68,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m03.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySet,True,True,PASS,,,,1,2
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m03,9974cb47f1670c6c9fc82c13a12cc8c7de22f18d7df45c887030f8f6533f0a68,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m03.log,org.apache.commons.collections.TestDoubleOrderedMap::testKeySetByValue,True,True,PASS,,,,1,3
Collections,Collections_1,batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043,collections_1f_swapPosition__line1043_1135,swapPosition,m03,9974cb47f1670c6c9fc82c13a12cc8c7de22f18d7df45c887030f8f6533f0a68,SUCCESS,PASS,False,False,True,6,6,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Collections_1__swapPosition__collections_1f_swapPosition_line1043/execution/m03.log,org.apache.commons.collections.TestDoubleOrderedMap::testSize,True,True,PASS,,,,1,4
