project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m01,ce63b82d322b7f518de1fc2b99b954610ab7d283f28edde44d61c53293b54108,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m01.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m01,ce63b82d322b7f518de1fc2b99b954610ab7d283f28edde44d61c53293b54108,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m01.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m01,ce63b82d322b7f518de1fc2b99b954610ab7d283f28edde44d61c53293b54108,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m01.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m01,ce63b82d322b7f518de1fc2b99b954610ab7d283f28edde44d61c53293b54108,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m01.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m01,ce63b82d322b7f518de1fc2b99b954610ab7d283f28edde44d61c53293b54108,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m01.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,True,PASS,,,,1,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m02,83dcc0b299d9a736cdb8136dd8870d2416f1f361ced10308b0df76fd12dbb3bb,SUCCESS,FAIL,False,False,True,5,0,0,0,0,5,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m02.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",2,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m02,83dcc0b299d9a736cdb8136dd8870d2416f1f361ced10308b0df76fd12dbb3bb,SUCCESS,FAIL,False,False,True,5,0,0,0,0,5,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m02.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",2,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m02,83dcc0b299d9a736cdb8136dd8870d2416f1f361ced10308b0df76fd12dbb3bb,SUCCESS,FAIL,False,False,True,5,0,0,0,0,5,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m02.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",2,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m02,83dcc0b299d9a736cdb8136dd8870d2416f1f361ced10308b0df76fd12dbb3bb,SUCCESS,FAIL,False,False,True,5,0,0,0,0,5,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m02.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",2,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m02,83dcc0b299d9a736cdb8136dd8870d2416f1f361ced10308b0df76fd12dbb3bb,SUCCESS,FAIL,False,False,True,5,0,0,0,0,5,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m02.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,False,NOT_RUN,,SUITE_TIMEOUT,"TIMEOUT after 300s
Command '['defects4j', 'test']' timed out after 300 seconds",2,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m03,5ee91fc61e976d7bb89a0270822d693422f88363a01bc1e644c3ed21c583261c,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m03.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m03,5ee91fc61e976d7bb89a0270822d693422f88363a01bc1e644c3ed21c583261c,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m03.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m03,5ee91fc61e976d7bb89a0270822d693422f88363a01bc1e644c3ed21c583261c,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m03.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m03,5ee91fc61e976d7bb89a0270822d693422f88363a01bc1e644c3ed21c583261c,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m03.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,True,PASS,,,,1,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m03,5ee91fc61e976d7bb89a0270822d693422f88363a01bc1e644c3ed21c583261c,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m03.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m04,36d018f693f2860df5b1817a1dd9883b5d2b855a656b589bfbcacd0b8e9b5b8b,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m04.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m04,36d018f693f2860df5b1817a1dd9883b5d2b855a656b589bfbcacd0b8e9b5b8b,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m04.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m04,36d018f693f2860df5b1817a1dd9883b5d2b855a656b589bfbcacd0b8e9b5b8b,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m04.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m04,36d018f693f2860df5b1817a1dd9883b5d2b855a656b589bfbcacd0b8e9b5b8b,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m04.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,True,PASS,,,,2,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m04,36d018f693f2860df5b1817a1dd9883b5d2b855a656b589bfbcacd0b8e9b5b8b,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m04.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m05,4a8007faedf6c82808932785d26febe3b65fb96b1722979e03a11076ea08132f,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m05.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m05,4a8007faedf6c82808932785d26febe3b65fb96b1722979e03a11076ea08132f,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m05.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m05,4a8007faedf6c82808932785d26febe3b65fb96b1722979e03a11076ea08132f,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m05.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m05,4a8007faedf6c82808932785d26febe3b65fb96b1722979e03a11076ea08132f,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m05.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,True,PASS,,,,1,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m05,4a8007faedf6c82808932785d26febe3b65fb96b1722979e03a11076ea08132f,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m05.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m06,cb4424f0ce5f8228d8ceca33f2037a891a0eb3fbb1b5a1ba36833df07c5bfa77,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m06.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m06,cb4424f0ce5f8228d8ceca33f2037a891a0eb3fbb1b5a1ba36833df07c5bfa77,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m06.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFirstOnly,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m06,cb4424f0ce5f8228d8ceca33f2037a891a0eb3fbb1b5a1ba36833df07c5bfa77,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m06.log,org.apache.commons.compress.compressors.GZipTestCase::testConcatenatedStreamsReadFully,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m06,cb4424f0ce5f8228d8ceca33f2037a891a0eb3fbb1b5a1ba36833df07c5bfa77,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m06.log,org.apache.commons.compress.compressors.GZipTestCase::testCorruptedInput,True,True,PASS,,,,2,4
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m06,cb4424f0ce5f8228d8ceca33f2037a891a0eb3fbb1b5a1ba36833df07c5bfa77,SUCCESS,FAIL,True,True,True,5,5,4,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m06.log,org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
Compress,Compress_10,batch06__Compress_10__read__compress_10f_read_line212,compress_10f_read__line212_291,read,m07,29fb0f8770a0831735b3d8016054556a60b383164028bcc15c36ff1fede5275a,SUCCESS,FAIL,True,True,True,5,5,3,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Compress_10__read__compress_10f_read_line212/execution/m07.log,org.apache.commons.compress.ChainingTestCase::testTarGzip,True,True,PASS,,,,1,1
