project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,True,True,PASS,,,,1,1
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute::testEmptyStringFromElemAndAttr,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData::testTwoBinaryProps,True,True,PASS,,,,1,3
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testFromAttribute,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,4
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMapWithAttr,True,True,PASS,,,,1,5
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMissingOptionalAttr,True,True,PASS,,,,1,6
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testOptionalAttr,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,7
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,True,True,PASS,,,,1,8
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,True,True,PASS,,,,1,9
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyElementToString,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,10
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyStringElement,True,True,PASS,,,,1,11
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testMissingString,True,True,PASS,,,,1,12
JacksonXml,JacksonXml_1,batch06__JacksonXml_1__next__jacksonxml_1f_next_line303,jacksonxml_1f__next__line303_348,_next,m01,df365bdd36346e5aa8ce59ee6e759ba948aa8a5e7012dc82ad3f3e16c6231151,SUCCESS,FAIL,True,True,True,79,79,22,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__JacksonXml_1__next__jacksonxml_1f_next_line303/execution/m01.log,com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testSimpleStringElement,True,True,PASS,,,,1,13
