project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m01,89fdaf0032969d55820c209d6a3f68b6ef74f6ff8869b8d2ad07913960939f77,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m01.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,True,True,PASS,,,,1,1
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m01,89fdaf0032969d55820c209d6a3f68b6ef74f6ff8869b8d2ad07913960939f77,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m01.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,True,True,PASS,,,,1,2
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m02,b72cbb23841e02849dbc18d9600031891a8a74e89c6f48485da411c3f90736df,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m02.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,True,True,PASS,,,,2,1
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m02,b72cbb23841e02849dbc18d9600031891a8a74e89c6f48485da411c3f90736df,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m02.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m03,40b618d871bb4ed429f5aa0915f5b6681c146f520c12a4cda31a861f724026c6,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m03.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,True,True,PASS,,,,1,1
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m03,40b618d871bb4ed429f5aa0915f5b6681c146f520c12a4cda31a861f724026c6,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m03.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m04,9d83b2e17c88da9af0edec4ae506454efff3a6e1ad6b5a5b7a52927548e50268,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m04.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m04,9d83b2e17c88da9af0edec4ae506454efff3a6e1ad6b5a5b7a52927548e50268,SUCCESS,FAIL,True,True,True,2,2,2,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m04.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m05,8a34b7669ecd9b3e5beb0a555054c0074b3adce094d4d52a253ec9682638fe7e,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m05.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,True,True,PASS,,,,1,1
Lang,Lang_1,batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403,lang_1f_binaryToHexDigitMsb0_4bits__line403_474,binaryToHexDigitMsb0_4bits,m05,8a34b7669ecd9b3e5beb0a555054c0074b3adce094d4d52a253ec9682638fe7e,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/java/llm/batch06/runs/batch06__Lang_1__binaryToHexDigitMsb0_4bits__lang_1f_binaryToHexDigitMsb0_4bits_line403/execution/m05.log,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,2
