mutant_hash,org.jfree.chart.junit.JFreeChartTests::testSerialization3,org.jfree.chart.junit.JFreeChartTests::testSerialization4,org.jfree.chart.labels.junit.ItemLabelAnchorTests::testSerialization,org.jfree.chart.labels.junit.ItemLabelPositionTests::testSerialization,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization2,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization5,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests::testSerialization,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests::testSerialization,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests::testSerialization,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests::testSerialization,org.jfree.chart.plot.junit.XYPlotTests::testSerialization1,org.jfree.chart.plot.junit.XYPlotTests::testSerialization2,org.jfree.chart.plot.junit.XYPlotTests::testSerialization3,org.jfree.chart.plot.junit.XYPlotTests::testSerialization4,org.jfree.chart.plot.junit.XYPlotTests::testSerialization5,org.jfree.chart.renderer.category.junit.AreaRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.BarRenderer3DTests::testSerialization,org.jfree.chart.renderer.category.junit.BarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.GanttRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.LevelRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.LineRenderer3DTests::testSerialization,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.ScatterRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.StackedAreaRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests::testSerialization,org.jfree.chart.renderer.category.junit.StackedBarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testSerialization,org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests::testSerialization,org.jfree.chart.renderer.junit.AbstractRendererTests::testSerialization,org.jfree.chart.renderer.junit.DefaultPolarItemRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.DeviationRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.HighLowRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests::testSerialization,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.VectorRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.WindItemRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests::testSerialization,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYBarRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYBarRendererTests::testSerialization2,org.jfree.chart.renderer.xy.junit.XYBlockRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYDotRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests::testSerialization2,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYShapeRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYSplineRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.XYStepRendererTests::testSerialization,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests::testSerialization,n_tests_killing,killed
00efa63c6ba05f96896e30344aeceba31472cd6b569e011c3cd0e109a352a754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09248c3e29d0f198d52a981cb65818129bdf7907ce3435714bd85b47558922b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
134f5ddd4e0b46a1e97fe8009c648c39f533e5c3854fa5d8f8d13fa57f7942b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177c8186726cbf6412f9baab39ed5a1d8f463d7f07af863b9606836fb4f0156e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17e0fab9a4c2067661ba7554447f29b77f269f10f7f9934366a89e70f4b83b62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
19565482057838c80a165a56fcc602c651e4bf3f41d7050463845c14978ae5df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c5caaeaeaffb7afe608d2a0751984810ddd0ee0089018131f6d17def7e96d6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1ec2da69df0e8827413a2b14a851d202238895ad75eda3b695ab8bd9d4442209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21546b09706d5e7dd13635a8d4c2c14a129a7147276d092a9898208e556c33a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
21a6a0be449f329fea04876c7201e7fa449fb8daa46ec688c88960961b6ca54b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2cbf8781f9e4e43c733abfa77e8127c84acb690be3fbcdc09351ba2a17bfe212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2d87f03743bfdb17ffcc0a63846c944eb665593881383e7230c6ecdefbafadad,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1
43f45e8abbfe1a89d4bd4200d5116f253ae80f4539428952b41cdfaa47f0b71f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
