mutant_hash,__ZERO_COVERAGE_CONFIRMED__,n_tests_killing,killed
0427af94295ee5341f720c557126b9246b4dbc9476bfb89848ee784e21c9c65d,0,0,0
0c88c2896087fd7fc3eed76624bd8b806dfe3672d9e3f6dac42f48c76689d1a2,0,0,0
0d37855b484ffb7c9381a1d116e794ff33efeaddc836d557407f05ff96317ceb,0,0,0
393b44619d0fa6037707fed8367129bd4709cb7f71cdd76b6804935150c41401,0,0,0
4683876c9d7104940c702d41d2bb4e12ea30f577057f5d983446f7fdaf1704b1,0,0,0
504f6f5d276f79851c4747b643a3774eb6566191e038ed478fb838ad7492401a,0,0,0
55c485ab76c92ae947d59db226209c19628f7a004742fd94ad09b0e0eb88c327,0,0,0
593f22f05f0be593fbdc66efff004fd083e819692000b2bb83df1f57dfaf4cf5,0,0,0
5be6f12f073fe4db3b84c9f87a1bb05ebe015f386dce76b3b1a2754f68026fac,0,0,0
5d46c30ef3c5e4a5c8dee839654f674bdbc6f2f7e60bea965fb696cd0e78d487,0,0,0
60400b1a15bda5bbf38e851648466e2b245daaa7a00100e0739dd569fab9ec76,0,0,0
6944b8414f7f1789cbb8c2adb78fe4c2bda53043ac93e1b2fce4f19ff96e496a,0,0,0
6e19fc05ddcb773b2b1a25fef4e647682846e828cb6d9d7d35155bef7d759614,0,0,0
70f61c601df71516b6a64631a6ea859caf15d85ff326e2501fac98b6fcfc12ce,0,0,0
8747b0e97f6826d9807d3648cd4c6a9db2285d9417738c21d1f8b58f9566534e,0,0,0
8b68227f00ded50ac24fc99a7a0523e84083cae8ccf47cfbf365183c07f5d44b,0,0,0
8beb65af27cc44c533c4e0eb35d34732412d47ef16df3103bf8f5372b13b3a09,0,0,0
90da0f2069dda8fdaf5288b5a4f181f33eb3595e932cf7b694cbffe87108a761,0,0,0
99bf94e86ae8036e5a76ae6844b7f10c9ba657cdf35f906fdb69c567e665c74c,0,0,0
a5ac349dbd30684433909fa4c2b68d36f955afb6bf1a49d11eccef8cd41e36aa,0,0,0
ab144bbaa5b0527384592ac87f00943762d1b6be1fd589893a4ca4941210ef93,0,0,0
b15409d0061711d325feb7726adb0f772feb960f4c7010c26a3b255afe30078a,0,0,0
b70cd94e91a8f285dc45ace72a7cf77fd8425b13199be81595ef9d25a9493300,0,0,0
cd55f3abf4677a0014741cceb95f96a55905b7597b2cef5b33746426973291b1,0,0,0
d8a67a6cf7a19808b319f5d67bca9eedf1dc7cafa53a92dd8ce268c9c29961e2,0,0,0
db2add29cf3d373bbd921a0cbb372482f68ab6ddb6c472d4cafbc235d047aeb9,0,0,0
dd74123e7c64c90887f3757782277caf2f30ac3263ae1319d92b67d14de73671,0,0,0
e5de771fc84493c84ec385fc7181b83acefeaa94354256da1385e3b1916f972d,0,0,0
eedc504549c0063e5773d1a65bd6298b349adabae3d1b0571420da52b79dccd5,0,0,0
f53168004a83efff2592e1aeb68803a929adbbb43e0afa944042dc445510df60,0,0,0
f8133fa06320ca93a78c3fc24e7ad182390e801401f0fd4dccbba1183dd9a2ac,0,0,0
fb60480c2b28f6ed94efad2e6df60ee9a729ae893db792fc0529a197c5075b54,0,0,0
