mutant_hash,org.apache.commons.codec.StringEncoderComparatorTest::testComparatorWithDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphoneAlternate,org.apache.commons.codec.language.DoubleMetaphone2Test::testDoubleMetaphonePrimary,org.apache.commons.codec.language.DoubleMetaphoneTest::testCCedilla,org.apache.commons.codec.language.DoubleMetaphoneTest::testDoubleMetaphone,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualBasic,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualExtended3,org.apache.commons.codec.language.DoubleMetaphoneTest::testIsDoubleMetaphoneEqualWithMATCHES,n_tests_killing,killed
1429b613f0a747cbb9bb81120e0813982bd5eeaf41669e34615867c59e9e5a74,0,1,1,1,1,0,0,1,5,1
14a561d7e9b88d96886adb8b8b59ce22e41ef0ede77215d877d40b634f3fd77e,0,0,0,0,0,0,0,0,0,0
160dd7914cbc36a0f4afe9321749198401db80282ea77efa8e735964c24a72fd,0,1,1,0,0,0,0,0,2,1
19d2a90ead74795581c16ba8cab1a012cd50826fba572b8db58ae1c3dab755fe,0,0,0,0,0,0,0,1,1,1
1a90b88310a11c1fed685ee227af96957bac64ad56432c09e9e69aafd3f22ce1,0,0,0,0,0,0,0,0,0,0
28f0eb217b846db2d3456f48f5697894e33aead56f8f0830b59ce11b44043941,0,0,1,0,0,0,0,0,1,1
29c241111b1e275eb1a43d0aef734d3b0ef53d80e89cab119d81df4600ac28e3,0,1,1,0,0,0,0,1,3,1
30dc10823a56fd69880d72cca604c0679a4e99a546ca4ab35735b51e85a40955,0,1,1,0,1,0,0,1,4,1
3fa054b48c040689c85e7558cba4b791508c17b9749b46d4d1950b3fe1d596db,0,1,1,0,0,0,0,0,2,1
411a679141f3dd71e51a0c6f9fe81c74d575afe1b9b6cc3da96ca8e1618c92b6,1,1,1,1,1,0,0,1,6,1
54bca3352784a812a193dcdb531f60588102266b364c87f83b58574b1a4a4b3b,0,0,0,0,0,0,0,0,0,0
54ec36fdcfeecbf2b5efadc4d9a6192c7ff5b2a9bcb0fbeba09ea741b9ba09ac,0,0,0,0,0,0,0,0,0,0
590ecb233fe407f9df5ffd53d5aa1ea84b5b2aa1b3e5f46324bf51d35cf98642,0,1,1,0,0,0,0,0,2,1
5d78bb6b2ca0dfa39aa1e8a113da812ba822a3b20d6c48a9635e0514b085ede7,0,0,0,0,0,0,0,0,0,0
6050352d2dafe6e6daf231e1bd916f3f36848b03a5f40acafffe481ba4b58a50,0,1,1,0,0,0,0,1,3,1
608a29a03fc18157a7be4914348eee71fdcd1f84f33c6e74225e4b57c40d1a69,0,0,0,0,0,0,0,0,0,0
69679f416810ecd12a726feac51556421e90fc11e19c877b3c2b4af48cd8495d,1,0,1,1,1,0,0,1,5,1
722871373b86adcc2dc19449eb24566e3b62a656f029a51e633bc96b4cec0a87,0,1,1,0,0,0,0,0,2,1
73b54e2e44d86ff7a3dfda303b160ec76b6b86c9b20864f7e8e354608c8ed745,0,1,1,0,0,0,0,1,3,1
7f739d6f684b024bf0715a5a8c8f6602bcef3d4c9b1e451629f26da34b337b0c,0,1,1,0,0,0,0,0,2,1
80e2268009a6fa555613757188f37c2550c7c9039797eee0b2dec7fb1cdd6649,0,0,0,0,0,0,0,0,0,0
9a90d97ab97946de2e71d05e1b368c2d0193c6d6fdc57d81c58dc5a4e8492be7,0,1,1,0,1,0,0,1,4,1
9d1f0b1650db1756aeea7d34a33236f5e013525bdd21497390eaec5b53f36f9f,0,1,0,0,0,0,0,0,1,1
a98d06463b5a31d072433de9cadb0ed56fbf46f63664847094d5fd4064ff95f4,1,1,1,1,1,0,0,1,6,1
b27a84be521d5f59aebda3fffba1a612c637247fda0fbe8f2616b79af4707722,0,0,0,0,0,0,0,0,0,0
ccbed752c23a0733d43e2744174f2a5422e92615564dc84eb125b4de84d282ab,1,1,1,1,1,0,0,1,6,1
ddd9e8ad62746a7f458dd107924512bf45905114f3bcbf5cf219f9d106480a27,0,0,0,0,0,0,0,0,0,0
e2c3d7e37e5744c51c3c6949be2628a54333bf840c60390bac25d362b0bd54cc,0,1,1,0,0,0,0,1,3,1
fb2cc5c674fa49ca3279e17dc3adc89912f4241530a3a75d29c02175799415ff,0,1,1,0,0,0,0,0,2,1
