mutant_hash,org.apache.commons.collections.TestCollectionUtils::testSize_Array,org.apache.commons.collections.TestCollectionUtils::testSize_Enumeration,org.apache.commons.collections.TestCollectionUtils::testSize_Iterator,org.apache.commons.collections.TestCollectionUtils::testSize_List,org.apache.commons.collections.TestCollectionUtils::testSize_Map,org.apache.commons.collections.TestCollectionUtils::testSize_Other,org.apache.commons.collections.TestCollectionUtils::testSize_PrimitiveArray,org.apache.commons.collections.map.TestMultiValueMap::testPutAll_Map1,org.apache.commons.collections.map.TestMultiValueMap::testPutAll_Map2,org.apache.commons.collections.map.TestMultiValueMap::testPutWithList,org.apache.commons.collections.map.TestMultiValueMap::testPutWithSet,org.apache.commons.collections.map.TestMultiValueMap::testRemoveAllViaKeyedIterator,org.apache.commons.collections.map.TestMultiValueMap::testTotalSize,org.apache.commons.collections.map.TestMultiValueMap::testTotalSizeA,org.apache.commons.collections.map.TestMultiValueMap::testValues,n_tests_killing,killed
02886645b04804f4698133661e2025c41adab910888461775e46d7b16ee45656,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
039be99e6d294a323683d5da3ec70e522e5b0af2c138a4c2a5aeda977650b0b1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
167b3300796274add893eabc63e303d0044ef8baa2a26f17b29a4549b5c13de9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1dc903c8bd5e0dba658db85b018b8e2e3b9505b67543679b8b75ac82e24bcd48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
21adcec84d170217428521615b954b2cb949a6e10aa6581442302267fe10ace5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248069b395ea9e9862a13417057de7b1c246791f5d40a5d28b5914fe1bb900d7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27580c7cc559a8720baca5688d299b23a315ed899ebf6aebeb29a04974bbd7b2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
2bc38a05d7b5252aae953be4c9674a1acbb8e34dead4c04e9286b35e2956474a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2c84deccacc299a6689e09c3048ce26b19ed919987736475be0351ddd6524973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2dd231932b5caf8e247b4d43ba6c45695217dd79b06b3d9a33434f47af8fa46b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
39df84108afb92e3fd5e7a05dd2d54cf6f72cd94802cc94e5774650d6dfd1c9a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3ea3f681ab74b0ae49c0fa909803258f63cda86069bcd34d88367c82f605aa64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4f81b6e5398743a8965a5c2b49d79608b536091a941b7ab687f557e5dced76f7,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14,1
53c75ed09d535ceaba2eb91366069ec706d0839ef47d2f2d7ce7228a44db5d6a,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
634f2e447551e8017848257049db95f9ff4f89dccb9e69bfbf5cc6ce51cf7c74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
67a3044411675e12974f6dd4893528d265c581eb1eb23a9192c2e7007c34c922,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,9,1
6b298fd678e831d77ac2d4e580ab826ab0fd7b94f22b015465f71fa25010308f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7064b3557ed024e546b1da89f3bc8495d8db7009d042afe4d09c5d6eae72731e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
732ee792fccbd2f67218895b8ff8db90d889ef855cbf0df3627c438cb68cb833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
73e1bfec3fc924b9f7d9b86156a719665ea8bd9cd27f6421422d44a782cd60c0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1
776ae71ee6af0f5a7ef09f92ec9387c3eff79797b4e7d786da0d40b33a3fea51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77d1f6c25acee674d31a756d69cffc04a8bda5d09264d145e7ea599910395d39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a3da4d1fbb9ac8fa11e397fe675841864daabfb466ea4885209d982cffe2840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1
84677d4199fb7107af46b0138955787443ddaddc30054b9363e6667a46e77ec5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,14,1
87c70e6c58c16d7d310e652642a84c0170d0151fca8f9aaad44d07338f037af3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
97f62c70d5bba106e3715d7861dfe0c770b6bf00a4378db8181cbfc50f29cb05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
a7f41f46c65d0fd21dea792fe91779089c05732201a38657533c1d80e5528662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
b1e6b4b55d60be8f48bf7bcaf6bb8f02957d703f347fa177b3391ebfbe21cc37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
b27cba8d794cae3c47d3dead5d1820f20b2e41a233e61b1c6df959029cc59b36,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,9,1
b8398e45e00e863a492e36576c4ecb2b1d3081f14e45e756a85c193f738d7c8e,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
d43262a37611753ee18fd0baf0ccb65834611ff6f3d170927104c3d500e7ef03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebbbe1f128d4f4d0a0b6e9b37d8477a44137c210481839563f28eb21fbdfbc79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ed1d24c30496a87650972f4b551266ae06f255cfa883454792ac83b37ed61487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
f4c4410337f4324b77b99366231725a8c35ae768c5edc64804370e86a6ac5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
