mutant_hash,org.apache.commons.collections4.map.Flat3MapTest::testClone2,org.apache.commons.collections4.map.Flat3MapTest::testClone4,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue1,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue2,org.apache.commons.collections4.map.Flat3MapTest::testEntryIteratorSetValue3,org.apache.commons.collections4.map.Flat3MapTest::testEquals1,org.apache.commons.collections4.map.Flat3MapTest::testEquals2,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue1,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue2,org.apache.commons.collections4.map.Flat3MapTest::testMapIteratorSetValue3,org.apache.commons.collections4.map.Flat3MapTest::testSerialisation2,org.apache.commons.collections4.map.Flat3MapTest::testSerialisation4,n_tests_killing,killed
1bd7fd2ea4ce88bb96cbb0cb3a513401a6ed1a9920d215234da75ef21ecb7a3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1db46e95327717852376b96ea7b3faf036b9d19d9a59d89fa9b3789242237a42,0,0,1,1,1,0,0,1,1,1,0,0,6,1
1f1ffd294b3b582df6217447d17b36ee33cdc898cd2b5ae7377bea582ab4fd85,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2268babf1eafae7fd9d4be98d367da67f77c3a5b0582b662046773c259cfdd8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2cdaf78dd95663055387b2ae3c0efd1a2183e8521f8c59b27ae224e3ec2f37c6,0,1,0,0,0,0,0,0,0,0,0,1,2,1
2e09e713b3397ae96a0793c9821e8989667ff9e0cfd43fae3381485b5a780260,1,0,1,1,1,0,0,1,1,1,1,0,8,1
2f5e149c2fd2caf2e769562c59f96f0c776a8459f80c3da2d67208021caf18b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361043ab1148be22e09cdec9f1d6cc5eeb9f61a80995ba0b14817c28b16caa08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368ccb2c2c7240f6372a1381154204b432394f5874b75a44b30f3738aba3a8a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43677d2539a8f233edb39cefc1fb6017aec5050048b68973a23a396a03ed0f47,1,0,1,1,1,0,0,1,1,1,1,0,8,1
4bf2928d3a23204d5119dc03a97956d9d82ebf0ade650a887caaa70a7e7c1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54f1188c82a6cdedfc13ee657a225b327b303e3f30b07a92a6d87e898c0c40ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59ddd2e1a9fa5b69b6623c267bb2669a798d56cb224f94574ed5ef81ba927948,1,0,1,1,1,0,0,1,1,1,1,0,8,1
62a46fdf9774f13b1924dba09164dfd5695494a6810c732dded20d175fad9e76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72a04d8ce111b93f24bb6796ad19080fedd53ff663d8bc817e5f9a99f7601272,1,0,1,1,1,0,0,1,1,1,1,0,8,1
75b34afbdd97a0077473b1d09a1c8fc55a43e54f13e45da8e1093fd048b4a6f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e646fa37dffc2de7a9f597a6f9ebe1f3ed24cf520369f9e245020fdb37d3aa7,1,0,1,1,1,0,0,1,1,1,1,0,8,1
8742fdbb5e19e7a3134192727efd5e289a2cc753d21bdb5d91d59bb869f2367e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89ac88087615a2d90394d3882f6bafb807da4a8d6b0614a9d9fece3d7088d70c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ad7fbdf4f5269c7a0b034812f78c93b150cee9a7ae076257c44172be158487e,1,0,1,1,1,1,1,1,1,1,1,0,10,1
8d6b8b54ffacb05625626f17e2c78f9ced5af954ed5aeb86971e0cea4781c391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920a645c61644fe6e1b5a1cda0540ae0d9495d0167ae76a6ae647196bb1cdb68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a53e309cf9ad63b5ad047638820337200869c666d31d24e05586810fbd0b4710,0,0,1,1,1,0,0,1,1,1,0,0,6,1
aa69bddecfd32165382aba03a9288007d738c65a5a438f66026f6ac0e67508eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcb1b721a7a6dcc284c25d654f03fb355d865b9573eb0fd737c93df7f47a698d,1,0,1,1,1,0,0,1,1,1,1,0,8,1
ffeeefefba7ddeec14a61a8749aafed599980ddbdcb7887f27fd5e1f8c72e3c8,1,1,1,1,1,1,1,1,1,1,1,1,12,1
