mutant_hash,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testListViaObjectReader,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleInvalid,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidComment,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidDoctype,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidPI,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidRoot,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleValidXmlDecl,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest::testSimpleViaObjectReader,n_tests_killing,killed
0aef1bd418447eb8d7b4c321c8467fb8f73434906aa39850496e4104da07ba52,1,0,1,1,1,1,1,1,7,1
0c9557b357779e0ade00913c0f141b74e141b027164a98d642f5c35101ed7ccb,0,0,0,1,0,0,0,0,1,1
1514830ce1410c3618038a0fc730862b7e9c8366050b0ce73be4c466ce294886,0,0,0,0,1,0,1,0,2,1
1686ae83e902164897fb1e3cbaaad9fd8cd247bc47d20e99fc8f73bc64fc2e20,0,0,1,0,0,0,0,0,1,1
1a8a68ca808b98c54a8b984cd6f221ba020e99b9d6a0e5f4396cad2620b1dc8a,0,0,0,0,0,0,1,0,1,1
21eb4c60a41019a713a45edf8b7980566bb69142ea8b6fb34565058e5d8e46a7,0,0,0,1,0,0,0,0,1,1
31ab63f7fd472d8404ae4ea986f92e20d399870a1ee912ae14464e5d6da3a358,0,0,1,0,0,0,0,0,1,1
31e7fb9b188ef977ecd0327c9be04b6dcb01bf913bf3c0f4186d0a0a3d3fd34c,0,0,0,0,0,0,1,0,1,1
4714e1268b64ec2ebcaf4ac8c1ff4e148403287d1e02372455f30dc375eba2aa,0,0,0,0,0,0,0,0,0,0
4d9d3919308c13c7fbe4b86e027b7e6153226f3419b575b261c3545b2e8429ca,0,0,0,0,0,0,0,0,0,0
5060d9664ae90053be50d8ba5be208a4765b7696ae4d41bb296a705ece0d66a1,0,0,0,0,0,0,0,0,0,0
52913b236e5436e7a7cf5fb716646322c0a17f092d65908d2b4b169640d56a34,0,0,0,1,0,0,0,0,1,1
5c91fbe1783bab4914ada8010a554899e8536ef75131435da02fd64760bcfd08,0,0,0,0,0,0,1,0,1,1
66decef13d80de800187e054e23e236b45cd0fea73a8704cebded238b601123e,0,0,0,0,0,0,0,0,0,0
82a669aa73aa6fb54e7baa380dc96f99eefa80cc34273e3ea229e71c3f4ebb43,0,0,0,0,1,0,1,0,2,1
831851ab4f683489ee3414f0f15fb6313c6ffd7d19ed201a57317d6c7372c369,0,0,1,0,0,0,0,0,1,1
85cb467b0ad8dad981ef83ab6a48425e2f4f0302cb9fe434e0595e1808445bd0,0,0,0,0,0,0,0,0,0,0
9b2d3d87dfb0733a213f8228b59042896ec3b4c2aaac91c2a0a8287d99a15c75,0,0,1,1,0,0,0,0,2,1
a3b529bca422e3cefde9ebed157b113920c1894f3c01337b3940a1cd377e6266,0,0,1,0,0,0,0,0,1,1
a53980156ebdd689099616b376a795941add64cd5984392d743c7266498b403e,1,0,0,0,0,1,0,1,3,1
a66af145885131e2ca29bf13a013f6c1b8dc418ec17361a4950a1481d7248bc8,0,0,0,0,0,0,1,0,1,1
a977aa5c1c3d33a4567ccf3ac4e49ef63f57d6661b773e87b8797f10b03a9f73,0,0,0,1,0,0,0,0,1,1
b255f7ccf83cb8f5a439ef21aaaf86df526db1583a191b47f9a2b8c67abf6801,0,0,1,0,0,0,0,0,1,1
b4761d4e9e5d8f027efb3652b9ab44f30e064943c961a22ac2afe7e6d2582614,0,0,0,0,0,0,0,0,0,0
c12b3f751f1f41b8e2da54cdcf933ecd7c1b2ad7ec79c15bd90d43f05f32706b,1,0,0,0,0,1,0,1,3,1
c8928ff72c851162388265693b8176c6c8365d51f010d6e2970fc542fd5587ff,0,0,0,0,0,0,0,0,0,0
cb5f6af7d01d331789a82f31a7c2ef11ed2d1b818773ad85dce07c24b1ea3041,1,0,0,1,1,1,1,1,6,1
cdb4c06e5eb359197f2269071122422d6039a47c04368c916263b143bb7507ab,1,0,1,1,1,1,1,1,7,1
d1fd74692369ae730ef81899694bdba4843e9064f0344f75faf8b4532d9bc09e,0,0,0,0,0,0,0,0,0,0
d63a4858640c393b456a3e4ef27a4d6af3462cd4cde1548b6269bb3e8a9a7be3,0,0,0,0,0,0,0,0,0,0
da5029dab0dc7ed65d25f8bf0468b1d5f5fbd16ecb841a4713597141815b5133,0,0,0,0,1,0,0,0,1,1
f7bcec90fec8737c7af52b878ce4cf6332d0637bb2b869adb67d1cc991a517a1,0,0,0,0,0,0,0,0,0,0
