mutant_hash,org.jsoup.select.CssTest::nthChild_advanced,org.jsoup.select.CssTest::nthChild_simple,org.jsoup.select.CssTest::nthLastChild_advanced,org.jsoup.select.CssTest::nthLastChild_simple,org.jsoup.select.CssTest::nthLastOfType_advanced,org.jsoup.select.CssTest::nthLastOfType_simple,org.jsoup.select.CssTest::nthOfType_advanced,org.jsoup.select.CssTest::nthOfType_simple,n_tests_killing,killed
042de4f24e8537ffaf7511a0f6c0b1c9f0919a061e9bdd18c4c32c5392b781a2,0,0,1,1,0,0,0,0,2,1
0d4fe8e8a8b97b0c178a62f2d9e2598859599b6e7b54eb7756dcfad3ad15727c,0,0,0,0,1,1,0,0,2,1
11503a128c2a6671f59d06b029ace43ec5b905fd56ec61ed91406404f83a9d57,0,0,0,0,0,0,0,0,0,0
13a83cbdd901206b1968a66361c0781e5cd2197f4923dab430fa93ada73b4270,0,0,0,0,0,0,0,0,0,0
1c7f674870cae0bdb802a39f2c3ef6ccdbde9b34b7c6cdcacbfe56783869e926,1,1,1,1,1,1,1,1,8,1
2527551a8ca0bacb13432061c9a9d17e9a1e8775231835dc1979e954c9ba54ee,0,0,0,0,0,0,0,0,0,0
29770a04baf43220aef52f7e29105d8c310a45ed39add4b66ba58d578ecea3d6,0,0,0,0,0,0,0,0,0,0
2978be542744476f2417b069bfa44afbcda236c11020a68ba7bb2077e84b8d3e,0,0,0,0,0,0,0,0,0,0
4cf5178abf66feeaade80bcaad414be0ef66fde8b8df301bb76cf212750bdb31,0,0,0,0,1,1,0,0,2,1
5536ec98b4baecc1031897bcabbc099227e87058623a75eabbbd8cac42f802c9,1,0,1,0,1,0,1,0,4,1
57e1cbaeae472609cca6441b1fa2c98f4d3497f7cc20c5bd3660cab417e60bef,0,0,1,1,0,0,0,0,2,1
6ccfbcde6987ca26a76457445b284549aad509fef1ac071c04bca58ed8a2e09d,1,0,1,0,1,0,1,0,4,1
70c0509068c24b68db6fd7d72cf2e82d168378d9ddc9269d3da6c166f09e43e7,1,1,0,0,0,0,0,0,2,1
7ade3301d439e860de54998f2fe32cd9a04509be812ce1f1cec85ba88e27a8b6,1,1,1,1,1,1,1,1,8,1
8387455f8d9ac5f6d673dbe6356bb3781be9670a88305172bbaee6f0a7a9ec13,0,0,0,0,0,0,0,0,0,0
8415e681e1e1a5a7cab1a127866362b7d6759bba3d343fb7a013820744698324,1,1,1,1,1,1,1,1,8,1
8ebfb6f4279e42b2a531ff22b3ad68199d160606d45e73148b7f2f2a3961b5f0,1,0,1,0,1,0,1,0,4,1
90803356156c0dd18bf053df6d2e7e62e0010fa73ff0d816a76d0842e0735822,0,0,0,0,0,0,0,0,0,0
9600a41af42be1911cc9fe42bf37cf02d88980586857d39858a1b167757f24b8,0,0,0,0,1,1,1,1,4,1
989a8ad91abd38ac039e8cbd6f133dc5ebc4a218b844f9a740a1ea8369e0e511,0,0,0,0,1,1,0,0,2,1
997d9f0fc1461d197a47f2d23816a95e6a28ad3bc3077940abdcf1ae28b2433d,0,0,0,0,0,0,1,1,2,1
aca6afbe406fbb53fa6d79aed4902ecc73e5a918d100a3db98688abd926566c3,1,0,1,0,1,0,1,0,4,1
c9fd717d1f31448f946e0a912399e60961d85ac6b9f1789e40b8ef73277d9001,0,0,0,0,0,0,0,0,0,0
d012954697b66a35e442399afd2d66b1e600469b5650f798bbadf373fc8201d4,1,0,1,0,1,0,1,0,4,1
e4e3898f4f378570390ff3cd4b1fe897ce48033c564a399e36aa82ee30dfbf24,0,0,0,0,0,0,0,0,0,0
e7838ec9ea336333eec72c29c01c3e6237632fb26a3eafcef6eaaaf40544e1a5,0,0,0,0,0,0,0,0,0,0
eada83dc0e0490c908bac9ffaba314425a6dc66c5f7a7598482569ae5d06771a,0,0,0,0,1,1,1,1,4,1
ec9c36751fe7d33d1f459190945d754c39d2c882a6e1fd771306764dbd3fa3a2,0,0,0,0,0,0,0,0,0,0
f36df888d6942172e2dc405b2b4a343ab65bd06f0a20f599c7cdbe8a29ad4e19,0,0,0,0,0,0,0,0,0,0
f41dac577711f1aa9bfe8aa3fc1b3de1cf4077362c00e2e79f1fe2de45b5e7c6,0,0,0,0,0,0,1,1,2,1
f9d9a5263ababe15bb01ff4b74065fa7ee873c59c6fb263b4b87dd49ae6da71b,0,0,0,0,0,0,1,1,2,1
