mutant_hash,org.jsoup.select.SelectorTest::selectFirst,org.jsoup.select.SelectorTest::selectFirstWithAnd,org.jsoup.select.SelectorTest::selectFirstWithOr,org.jsoup.select.TraversorTest::filterRemove,org.jsoup.select.TraversorTest::filterSkipChildren,org.jsoup.select.TraversorTest::filterSkipEntirely,org.jsoup.select.TraversorTest::filterStop,org.jsoup.select.TraversorTest::filterVisit,n_tests_killing,killed
11c11fcf57c19cf62f0a89dee7c0df36cf836baf7550bf51ac9bd8e715225ebe,0,0,0,1,0,1,0,0,2,1
120e16e797d2a4640a32ad7341999f43abd225728dcd1c3afb9a284154e1d9c0,0,0,0,0,0,0,0,0,0,0
125534e1a093d7e66fd6aeda970183444faf69fd21aa159d15362a577c67a701,0,0,0,0,0,0,0,0,0,0
132cff15656acaa9ca143d1081a0f9ca904966621c92b2d8421d11ec27388ea0,0,0,0,0,1,1,0,1,3,1
15317e73ae8c328db9953d7b744f1afe730cf0f8f0ae6079d419d2f6c6da00f0,0,0,0,0,0,0,0,0,0,0
1aae6d074909062c9c17126f856863b4c5c955f901d84d61c0608ada4467f5cd,1,1,1,1,1,1,1,1,8,1
1b0c8b451dcd91d8f30fba0c57b00757520572a3d7829ffce4085e86dd58cebc,0,0,0,0,0,0,0,0,0,0
1db5b229a49cc67e63b29f3d7b54932d5212f3020c680b1a15c23c63c8c866b1,0,0,0,1,0,1,0,0,2,1
21c4144209a76c34cf34ad87d15e1a7acd3ef625db6a0ed514204207c3b45931,1,1,1,1,1,1,1,1,8,1
323435f76eabc93276de785d8e489f6f8672b43376b8fa8f86f200c533018e33,1,1,1,1,1,1,1,1,8,1
323db4d7c578725e5f4e0a9cc42a740543eccae24854153baca5df8263219243,0,0,0,0,1,1,0,1,3,1
334e774685c007e39e96de20031b993c5a30e377ba45a92cbeb2ff5857358331,0,0,0,0,0,0,0,0,0,0
3efa86c88ec77e503e9ec8e631776124b8b8fdae4c9bbbaa33237217ea05c3dd,0,0,0,0,0,0,0,0,0,0
3ff2a3b50680be2800c6c1081174c674566deb17ca902fc730fe1238e958f4ad,1,1,1,1,1,1,0,1,7,1
42d65f93a98a7e189e7450e734998a8f41ff9ac56d9ccb2ee23c80991edb9410,0,0,0,0,0,0,0,0,0,0
451738612558ea18f6f2e6894d576bb270f86d31ea26fc393bf6b37eeb2fcb9d,0,0,0,0,0,0,0,0,0,0
45cf2e17662e30e5b388fe7104fa95f994770e1d5178fbb2f92d023aeda75cf0,0,0,0,0,1,0,0,0,1,1
4b627097bef73decd41205fede7a5e9c3eef573760abfa229b3a636c0e312e90,1,1,1,1,1,1,1,1,8,1
4c7f7c666bfce11ad058ab30e7ac0adc0bad64725dc53ce76735c8301099e7c7,0,0,0,1,1,1,1,1,5,1
4df140089501fa297c69b04d3a300f63b57d12dec850d9d2a35420982a04031d,1,1,1,1,1,1,1,1,8,1
522f41e4fb4ed03e1235fa5cad5eecde79d203225cea80e60c07791e39588076,0,0,0,0,0,0,0,0,0,0
567d60af2f1cd8681af8df1c76b67bc4ba6efdf131778c84bc20de460da571a0,0,0,0,1,1,1,1,1,5,1
606242738ff6e7847f95739c57c5167389b032c8bce12eab0b457e2cede80703,0,0,0,0,0,0,0,0,0,0
64cd3a5ba492edde11278ce81cc7f5de78dbe5926b9b6c3c7c5b306d3acad16a,0,1,0,1,1,1,1,1,6,1
67a8a210f11a01eebb94539bd72f16f9ffc160bfa12e989ec3804e40dbd9a36d,0,0,0,0,0,0,0,0,0,0
71d3f9bb271c0ee78238721cb27a6b142faa2ebd39fd11cdf1857f6dd46e98c7,0,0,0,0,0,0,0,0,0,0
7f01788d8e5701f1af1e168079829fdc41c547bc05a1758d48f77f343222fa7c,1,1,1,1,1,1,1,1,8,1
8e80307fd58c302fac5a6aa867d0293a5f3f7ed07f85873ea2502de01af30ee8,0,0,0,0,0,0,0,0,0,0
9b2175849f8a4073617cf5498e9347695405fc23ad9d6f7977a365fba63cb69b,0,0,0,0,0,0,0,0,0,0
9f30726f47f27423cb03055b1927c35b65b9fd891ace3b98526fd52d45089edf,0,0,0,1,1,1,1,1,5,1
a6f583a0f7062dc3b4bcc17dea399b49466c8b55cbc5faf5517ab7d1162dd306,0,0,0,0,0,0,0,0,0,0
c8cd960b494480f0715e9cd034ceb210c4de2656413cae0bd46e79742741ae57,1,0,1,0,0,0,0,0,2,1
c957c180e1b1d2cf5b225eedc637c3a4adeab2892e6689da8a9d20060316fc7a,0,1,0,1,1,1,1,1,6,1
d20eb677f060b99802c18fac29e4a0a7e917955d23494d696c816ad2e1d7ea1a,0,0,0,0,0,0,0,0,0,0
eb6f7a103b7d43831966b95a4c85033cca87701268fea43f9a2299b3ea185e87,0,0,0,1,1,1,0,1,4,1
f4b93a1e9a0ac229c48de3a427982f9b87a947cb7a5bcba940e8a198be2ec1cd,0,0,0,0,0,0,0,0,0,0
fad448ac1cf21e51e3a6fa69aa02a4ddd9448d3071bbe7e07ad0a33d595966fa,0,0,0,1,0,1,0,0,2,1
