mutant_hash,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testCoreFunctions,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testFormatNumberFunction,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testIDFunction,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testKeyFunction,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testAllocation,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testExpressionContext,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testMethodCall,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testStaticMethodCall,org.apache.commons.jxpath.ri.model.MixedModelTest::testCollectionPointer,n_tests_killing,killed
0142fb5ab437fca26d5ecc076a54bd5862aa4622bd0563aed09114191a50fef8,0,0,0,0,0,0,0,0,0,0,0
0c7d2cd81d0e5a3d3d4c4086f82694d769a8885111aed7ea2d5d273c29204c8d,0,0,1,0,0,0,0,0,0,1,1
113753e23e4b0cbac8f14843fe61b2406a803321a72f4b848d39553c8d52db38,0,0,0,0,0,0,0,0,0,0,0
15fd5572d67f17309752c71e8acae90f89ad28226442d213ef7fc5c102d97818,0,0,0,0,0,0,0,0,0,0,0
17205a7c56df52114ca32d41c746731195b60ce6e4a59818812169f1b4aaf3d1,1,0,0,0,0,0,0,0,0,1,1
1938b74670935d083b176c5df9b2989a826486a5475d81ff336655f2f789819a,0,0,0,0,0,1,0,0,1,2,1
1a643836c6a25435de9860bb60cec8bfa0ebd2b703fd1be27391a8c90965c687,0,0,0,0,0,0,0,0,0,0,0
266b4ad4de6c9724859d66c67acad5fa32b6969a0c3cf53a68b86f62e0653b4c,0,0,0,0,0,0,0,0,0,0,0
2bef6f5fa19209efbd4a60042e9ba4ea64e1b6f57123fb7e00b1893ba37e4e89,0,0,0,0,0,0,0,0,0,0,0
2eae47c81da15e1e6e5d40416dbd853d3f28937c086f2ea3b80165d24f1a9b9f,0,0,0,0,0,1,0,0,1,2,1
37861610a7e1cef0d94559e119622de060664496377dad6f5d2314727ddd24c8,0,0,0,0,0,0,0,0,0,0,0
3d9946f80bb56ba33f53d89c52b8d01152f530e82185b8dfb9ebc1dbdc03e1ab,0,0,0,0,0,0,0,0,0,0,0
44ec29d30cdcd256e5a491781b1af7dbd2c9219de0eb95afe6ba8816fbffb922,0,0,0,0,0,0,0,0,0,0,0
46372340fdcae8a3613fcaf8d02b272cc5c10ee1477052f29b55f75b7fee0cf5,0,0,0,0,0,0,0,0,0,0,0
4fa1678cce8e039c547793808e42115ca5360f5b79ba6aef67e240d551c2073b,0,0,0,0,0,0,0,0,0,0,0
