mutant_hash,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testBuildBox,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testCross,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testIsometry,org.apache.commons.math.geometry.euclidean.threed.PolyhedronsSetTest::testTetrahedron,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20040520,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testBug20041003,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDifference,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDisjointPolygons,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testHole,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testIntersection,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testOppositeHyperplanes,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSimplyConnected,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSingularPoint,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testStair,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnion,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnlimitedSubHyperplane,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testXor,n_tests_killing,killed
00c2c5f8e2db0ffaf794750137fd39dc026497a5ba7e8f261c8751e88de03238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0be522b221655a0491563eafcabc68ddf67ab487619506c1bae3b7a57ba7eedc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21ef58b3d848513e52dbda4d30572899958b44727409f5c43b5188f95b94ed48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ed01da82306ffca2f8bbab8e951f505b51300c5c573a437e5093c261e2759e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3befc35588bb169d14015821bec22fa37d1d175dede68df2a1dc6cd2a9aab28f,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,10,1
3cd038bfd18811f3d5b182cb959a0bf480772ae96e0fa027abc324a00b86c3e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42d59d130291430a7649437860eed6a2b12819d761ba63d8e33f78d976efe49a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54d15cc71ef986848ecc49e600fc6d3ecb78e57fbec3b40ae8a1c7568d1a8a29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56c3dc4ef90266f96c38215041cfa231d9ef12df72968031bfd516bdb8911e28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588e8ac0c0f8b00ecbe66d285861bf708ed6f7b35ec27311f34081651840f8be,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5b8b3add14f5b64af52c5682655f550d75ee155ba30d2ccb293c10b3979f4bcf,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,14,1
5f1d6b7ef3faa81f7a77e27462669dba50a2767999b03af57c4e433bff6c63f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78df99618046ee18390b224181d1752ee54931e8c63b02349cc4f6b617d5407e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a9e211f9c82c3b717f0d56cad236deec35b6d75ebd807d3e0a71dfec5576135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d4311d23b2517901b3fd49b5a0514c1d380f19bc349441021f3762ea7c37ea7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80dda4a71eff858fa0b19b476aac0417ebae2a02184ae44f83b41bed0392fbf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84f8c517f23a6d85d3be8b55c7eab4b5f7df82440c369f1bf33aab4ca88cfccb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1
95dd6abdef6aa70b336a2cf79a6ce77b86ecc5d0c8eda57ee0c1e94bf58da8da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96cf6835bbe9032fc38fbb8503442c7e08d4752f3268bfc24e043c33fbf10763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9faae0b9d0a698b06c8aa628d637e6fe4764b86821376d831f4d4171b7e4090f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
