mutant_hash,org.apache.commons.math.stat.regression.SimpleRegressionTest::testRegressIfaceMethod,n_tests_killing,killed
02fcc1efdb9b16c5e037f4646eebcce784003cee56c57ae538c038cbcf17c9d9,0,0,0
04dec9433553625ccc0c8bb4c4bcc0eafa901a1688ca3e150a228e938956f231,0,0,0
0e0c1076f756f32b5df83aa154977f1f498c2ce87b239158b463a6123dd9a5df,0,0,0
0e59db4990c3b2d403f8da2ed4077807df9d4fc402303f9c417b72953b037722,0,0,0
1466dc5fc194892f1abd12af539b05411234448c16db567b86c522a5549a7725,0,0,0
158f448c9db6f6db887fc484381e616c34b54ce593e3e181782cefea60bbc918,1,1,1
17abbfeb541ae95957e2a39bf8445b80e89fbdca1c2e2cef6c59fb8032085fd2,0,0,0
1a29bc374f62d4682aa822805aa050dea016c94338c789ae8ab6e0a019aec83b,1,1,1
220095ea29b0b855e7490158a64ffbc737c6ba978f8cf7f78be8d858f1fa35ac,0,0,0
2b174d1029d0e6aab15f19bd2db40fe23a46bc708afc58a36d3cbce906022fd8,1,1,1
2d31090d434e62964db4696e8a47597cb4000051593fe301500f84943c650263,0,0,0
2f96243287dba9d37785af1c9e846ca1968179635ab675869e5987ed79e5523c,0,0,0
3265a82c91f3b0c47bf3faf56825f2137a0448b1fc26252bfc6075874f3fe659,0,0,0
36b78bbf8969e7e6d1ce42e8c286a197c078ebc9c3867f2f163eb68dd92af012,1,1,1
36ef23519c15957a14be2c1a0c82039700e377822adb0f8187fd98235e059502,0,0,0
471e1fc0e8e5b0477506de7997727ffa55de1a2d98642be8d62a63b24ec39bcc,0,0,0
527f244e70f1b5db8c3c5ac73f42f215cd1c477fad645aaac6f35f964f53d40a,1,1,1
5fab5ebf756116e396a11135e1524475a822aeb70fb4e4ef981d97b4d1dcfd0d,0,0,0
5ff281a9db574862be7b823273d2cee0f0853b56156e564c445a8706eb21eb8c,0,0,0
6f8517f8fd7e8ec57d8dcf31205849fd4c4e2acd9263e8a9aca48265062cf261,0,0,0
894ce7b3beac3c963225ae1fe74d43e812a83f942c06babc0a132e696ddf5489,0,0,0
8fb35287e5a859a53528638f1198b4eb3326b7661094e4da8ed03862e9ba1f31,0,0,0
91f48d1d750ab802bd053ff7a538d0addeeba4fe7f6b6a2f839189ee06fe7d6b,0,0,0
98c6926971ca38eb70a24b164905accfe7a5f9cb88cbfaedc1f098c3ef1ae7f1,0,0,0
a0aeb5aff89f63439a3eb5b96b6dab999bd3dcdd3e0eb8348aad48b2dbc285bb,1,1,1
a31e1985b680f90b3031a051001f900746370cac698963f1ccd5b19628c01742,0,0,0
a68bf69c61789c67d21ba33dace3deba3f2024422cb54f1be14bc26678ef019d,0,0,0
a8b2ac1291242dde98228cc905dc5906062635348a9aaf8e255269359a2d98f7,0,0,0
a8ffb54cd75e4eb87ba6db9eb50b8374cc92eaf109c865b3151aa4d8ae533cc3,0,0,0
b0fcfee8d28081fdebd684eeab4fc59fe5e3f6a806303118e3e68c45e4823d0c,0,0,0
b121dcc08eef029ed7e1fb3699abcc93e4fec2d91e27aeb5df2433b9a3e7535b,1,1,1
be0a771f91c3b6fdec7487f6c2908288f53112f8f3272cd02c9f42133f78affa,0,0,0
c05c3790d58b78208a65dcc2cb0cad3303105c3f65b62c6e59beee06b46d89f1,1,1,1
c3f800470d08dcca27a2916c2bf747555b9aa177728001a34f4371a4a68fb27b,0,0,0
ca14a4b803e29c14e2f3a0a6a5eb938e1835ff91a14fa30c0b0e8587d9c30226,0,0,0
d0ad206fc9a7c9a872f003066881d57aaf49c7c8240fd7ea423c3e289b5e2c52,0,0,0
d4241cbe842e199974f198de4b67fe727856f452a2536125f8b6a94779b3277b,1,1,1
e3480ae42e48e521edf19d5d21307a37dd16bee460a2ab11df1168c6215d77c2,0,0,0
e34d63a7c072eee268e6a8b07cdd43914361cf3ffc8756e2e1be54e5a58d46b4,1,1,1
ee4fbea641ac88e68661cd33173edee36028211f886b9b168ddc9c525234dcfd,1,1,1
f71c955ad7e1c963cb382025737e1f2bd8a1073d0af67c34d7953660fe7ce75c,0,0,0
