mutant_hash,org.joda.time.TestMonthDay_Basics::testToString,org.joda.time.TestMonthDay_Basics::testToString_DTFormatter,org.joda.time.TestMonthDay_Basics::testToString_String,org.joda.time.TestMonthDay_Basics::testToString_String_Locale,org.joda.time.TestPartial_Basics::testGetFormatter1,org.joda.time.TestPartial_Basics::testGetFormatter2,org.joda.time.TestPartial_Basics::testGetFormatter3,org.joda.time.TestPartial_Basics::testMinus_RP,org.joda.time.TestPartial_Basics::testPlus_RP,org.joda.time.TestPartial_Basics::testToDateTime_RI,org.joda.time.TestPartial_Basics::testToDateTime_nullRI,org.joda.time.TestPartial_Basics::testToString1,org.joda.time.TestPartial_Basics::testToString3,org.joda.time.TestPartial_Basics::testToString4,org.joda.time.TestPartial_Basics::testToString5,org.joda.time.TestPartial_Basics::testToString_DTFormatter,org.joda.time.TestPartial_Basics::testToString_String,org.joda.time.TestPartial_Basics::testToString_String_Locale,org.joda.time.TestPartial_Basics::testWith1,org.joda.time.TestPartial_Basics::testWith2,org.joda.time.TestPartial_Basics::testWith3a,org.joda.time.TestPartial_Basics::testWith3b,org.joda.time.TestPartial_Basics::testWith3c,org.joda.time.TestPartial_Basics::testWithChronologyRetainFields_Chrono,org.joda.time.TestPartial_Basics::testWithChronologyRetainFields_nullChrono,org.joda.time.TestPartial_Basics::testWithField1,org.joda.time.TestPartial_Basics::testWithField2,org.joda.time.TestPartial_Basics::testWithField3,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped1,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped2,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped3,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped5,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped6,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped7,org.joda.time.TestPartial_Basics::testWithFieldAddWrapped8,org.joda.time.TestPartial_Basics::testWithFieldAdded1,org.joda.time.TestPartial_Basics::testWithFieldAdded2,org.joda.time.TestPartial_Basics::testWithFieldAdded3,org.joda.time.TestPartial_Basics::testWithFieldAdded5,org.joda.time.TestPartial_Basics::testWithFieldAdded6,org.joda.time.TestPartial_Basics::testWithFieldAdded7,org.joda.time.TestPartial_Basics::testWithFieldAdded8,org.joda.time.TestPartial_Basics::testWithout1,org.joda.time.TestPartial_Basics::testWithout2,org.joda.time.TestPartial_Basics::testWithout3,org.joda.time.TestPartial_Basics::testWithout4,org.joda.time.TestStringConvert::testMonthDay,org.joda.time.TestStringConvert::testMonthDay_leapDay,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_D,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_M,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_MD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_Y,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_YD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_YM,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_YMD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_YMD_duplicates,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_calBased_YMD_unmodifiable,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_datetime_DH,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_datetime_DM,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_datetime_YH,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_datetime_YMDH,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_ordinalBased_D,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_ordinalBased_Y,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_ordinalBased_YD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_H,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HM,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HMS,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HMSm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HMm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HS,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_HSm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_Hm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_M,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_MS,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_MSm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_Mm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_S,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_Sm,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_time_m,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_D,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_W,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_WD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_Y,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_YD,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_YW,org.joda.time.format.TestISODateTimeFormat_Fields::testForFields_weekBased_YWD,n_tests_killing,killed
02501441415bf1490cde6e90e3122b04902f81c457da9f3b0aeb34578da82c43,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,46,1
03e72bea47000224aa5e64ccdff3e25ac23461c76567708afc7aa8e48be1a74e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
089c4725232cd9ee6ff4d118f4b30580b4a194f703e3e697250d4202355d5be4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
131720b5f388280c86e5326506ec07cf526fbbe4ec3cbe50e9707bd8a21593fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1
16b707d2765618fc4e3869f24719c7ba48a30b9a0e9b87948ed58e148a989f89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
1792bf88ab6fa206cfdbe7e203e6a379e3083b07d09848f3afcbff58bf59a3f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d189fb07bbb803f990b82e71242ff4fad1fadbd4c9819ba59c8b2d395ac3c03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,8,1
322cd665e8baf2bff33cf7358de50018cca81c838921360804b813927a5a67d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1
344a5cb28cf326e856fae0037263d1d179f2de2062bff607eba8a564958fb36c,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,1
4da2c18d9334cad2d887b8aa67fe5fccd70c42088c5c670d96c73cb2351c5798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,8,1
520f320c1a45ff14121ac1386af8f246bd3cafc62dbb01a3aa23054b5f00fcf1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,23,1
5547be7436b75632add238b7cef1de259dd9e0acc29072ea26840167bcc1ef7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
