mutant_hash,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest::testIterator,org.apache.commons.csv.CSVParserTest::testProvidedHeader,n_tests_killing,killed
0a7c4ec6a79161037812ab313409f1f1c079a46a68702009456c8783d791c0db,0,0,0,0,0,0
17bcd0f3577dbbc49d6a44c56278cbeda6e6e0a771a3ee8928f115600399970f,0,0,0,0,0,0
27afc420fe2be3c72840995e7b42e7bc7ba3fb5648ac2c28750264a69303fabd,1,1,1,1,4,1
2b4fc42764334dd60bb245be0040a88d6c335ce4a8c33d6e550da00afecfcbe9,0,0,0,0,0,0
2e2c59830685b84f57b984b02bbab6c8e62e76082a269f858b7f0491fe73b5b2,0,0,1,0,1,1
34a99a132250934b3d71961a42d638c30b59f446b81c4bdbd5a12daaf6d6cee2,0,0,1,0,1,1
3b8e3a59f461cd607f9ffef6f0dc32c1041cc53ceed17affcdcebc6ec3d2ac20,0,0,1,0,1,1
48004dfa8ed69033162e2ec6f623f0b00d303ccf08dfcae7f01a9a415932e706,1,1,1,1,4,1
4b2d216fa15b70534c761f884d71b28197500c13952ffe3fc717ed330136d37a,0,0,1,0,1,1
5a60fd98fc084b4f8185ea43ee092686f873edc3cc7e2db260721507b257ecc9,0,0,1,0,1,1
5ccef54bc29ce0abd55ee110fbfc9d562db75205c292e9cde4b3d407df40cfb4,0,0,0,0,0,0
7fe18f9b0451ac83f55da8d9a6cf81c35ee65ceaaea885048078715e0739de01,0,0,1,0,1,1
8957d2cbae7d6e6fd889a830db2c9fdf2c94888212e1242ff5f1bb1cc8663067,0,0,0,0,0,0
8ca584de6d8e88d8a0faf5371c2ba5b85953f21de670ddf03a0b8674f5be2b6b,0,0,1,0,1,1
8ebf996a7dfc07efdfe68a38374647aa880eebc869ec54cd4196f329aafd9a60,1,1,1,1,4,1
8ec5bf17ddeb235940887caf03a01c1d68ca5f4a007e13a8395a968210b8b28d,1,1,1,1,4,1
951501e20b11452eecf81ce9fb0c6c1bee920cbb8a9ff5cfc793dc6d4e7a5dc0,1,1,1,1,4,1
9671decf8d62d145f5c27e99710ae5b7c8874b5adbded52c3164f6df0a8eef38,0,0,1,0,1,1
9680bbf6a6923b3ea28e33c1cd8b667a2b491856012ebe97f0912da9db2e1e40,1,1,1,1,4,1
982d2a65d6ea6a6d1a773bc2fbfa4df2514ac3ba4560e12ffc9c1943ef046660,0,0,0,0,0,0
a1268d954fd5b44cc9cd1112e8a95804264a2116cbeb1373afa31d485e8a1913,0,0,0,0,0,0
a140be77d9fca262731a453440ccd5243c6c5b656ddaee56944f297717e794a7,1,1,1,1,4,1
a2e1728b415be17ef69d88363a8f01d34e032b5d3bed6cbaddcb56723319485a,1,1,1,1,4,1
a6935118ef225ccfeb724d4ff647969e9086e5980aca12e89a28a9bf91508adb,1,1,1,1,4,1
a7cab1e15d64f51a4d4c133f05662bc197c26d3a18a73a96eb35bcea1ea5fb9d,0,0,0,0,0,0
ae86b2c6db10b2b81b060a73162b3377ca779837469db0643dc5ca0f79551ce1,0,0,0,0,0,0
b285a77a15bb2626b5b053afa32a0632b991689ec4a8849b13dc7a2bcfcbb5c5,0,0,0,0,0,0
b33d38501eb629e5e6586918c4d4923517132328e141ad0826b5f6805932c321,1,1,1,1,4,1
b421de2efe68769135e1eabc1f8f7ba335f444c20b3d85e1831f01965cb4475e,1,1,1,1,4,1
b879c869fceca0c823503908ba6f74da9133a87fa324869440599328e706baac,1,1,1,1,4,1
c3e718ae31cacb79f281b26a4f2b29c15c6fc9489fddc9c31b93eb0f247140dc,0,0,1,0,1,1
c4c1a33e5fa84d709f4aef4f1026c5a56484b3818280a40f9347073cc6d18ec9,0,0,0,0,0,0
d1d2a3a9e552cad41667b1eaa623c5c6feaf53e60f30b7523278672d0daf1539,0,0,0,0,0,0
d32d39c3365222074b1e494ef91fd9f9dc2610f106845c8dd4cdec156d6454db,0,0,1,0,1,1
db26468171e29b59bceccd96efc8c4c72f227f3d90856f651a294aa252537c89,0,0,0,0,0,0
dd774fcc35bbaf5102a79677db361241f148042cc7269521df2865a108936dd7,0,0,0,0,0,0
e537475d6f5d78d881c5cf89c2fa5376b73289cd5ed7fe66c15b666730b21918,0,0,1,0,1,1
ede1f7fc60b68e1952478b829a90713dfe25a34d276609c3e88710a95c27aa2d,1,1,1,1,4,1
f1fd3caede8524a8e9d71f71bb5d594cb4df575c93370289db68915c3c4cedc9,0,0,0,0,0,0
f46cc3e9d051a78b857ba65f3125dd83a9741b01508d3063f1f07f68e50f35ba,1,1,1,1,4,1
